# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Dec  7 03:23:11 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_radestr <= 4.5
# CONSTRAINT:  and pl_bmassestr <= 50)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-595 c,Kepler-595,1,1,2,Transit,2020,Kepler,Published Confirmed,0,<a refstr=YOFFE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...908..114Y/abstract target=ref>Yoffe et al. 2021</a>,12.38602000,0.00000500,-0.00000500,0,,,,,1.009,0.024,-0.024,0,0.090,0.002,-0.002,0,3.30000,1.70000,-1.00000,0,0.01038,0.00535,-0.00315,0,Mass,,,,,,,,,,,,,0,<a refstr=YOFFE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...908..114Y/abstract target=ref>Yoffe et al. 2021</a>,,,,,,0.82,0.24,-0.24,0,0.93,0.06,-0.06,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m16.89s,294.5703593,+50d40m22.85s,50.6730147,643.0090000,7.6335000,-7.6335000,15.0670000,0.1260000,-0.1260000,12.8620000,0.0290000,-0.0290000,14.7628000,0.0002790,-0.0002790,2020-11-13,2021-02,2020-11-19
GJ 3090 b,GJ 3090,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,2.85310540,0.00000230,-0.00000230,0,0.031650,0.000270,-0.000270,0,2.130,0.110,-0.110,0,0.190,0.010,-0.010,0,3.34000,0.72000,-0.72000,0,0.01051,0.00227,-0.00227,0,Mass,0.320000,,,1,,,,,693,18,-18,0,0,<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,M2 V,3556.00,70.00,-70.00,0,0.52,0.02,-0.02,0,0.52,0.01,-0.01,0,-0.060,0.120,-0.120,0,[Fe/H],4.73,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h21m45.22s,20.4384281,-46d42m53.00s,-46.7147234,22.4751000,0.0260500,-0.0260500,11.4030000,0.0260000,-0.0260000,7.2940000,0.0260000,-0.0260000,10.5521000,0.0009380,-0.0009380,2023-11-28,2022-07,2023-11-28
Kepler-128 c,Kepler-128,1,1,2,Transit,2013,Kepler,Published Confirmed,0,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,22.80000000,,,0,,,,,1.521,0.047,-0.047,0,0.136,0.004,-0.004,0,3.38000,0.67000,-0.59000,0,0.01063,0.00211,-0.00186,0,Mass,0.037000,0.026000,-0.030000,0,,,,,,,,,1,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,,6072.00,75.00,-75.00,0,1.66,0.04,-0.04,0,1.18,0.07,-0.07,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m58.14s,282.4922622,+43d58m48.88s,43.9802442,396.3790000,3.9470000,-3.8720000,11.6930000,0.0180000,-0.0180000,10.1090000,0.0110000,-0.0110000,11.2886000,0.0005630,-0.0005630,2024-06-10,2023-01,2024-06-10
HD 23472 c,HD 23472,1,1,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,29.79749000,0.00013000,-0.00014000,0,0.164600,0.002400,-0.002400,0,1.870,0.120,-0.110,0,0.167,0.011,-0.010,0,3.41000,0.88000,-0.81000,0,0.01073,0.00277,-0.00255,0,Mass,0.063000,0.054000,-0.043000,0,7.96,0.87,-0.78,0,467,19,-18,0,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,K4 V,4684.00,99.00,-99.00,0,0.71,0.02,-0.02,0,0.67,0.03,-0.03,0,-0.200,0.050,-0.050,0,[Fe/H],4.53,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341000,0.0401000,-0.0400000,9.7300000,0.0300000,-0.0300000,7.2070000,0.0230000,-0.0230000,9.3847600,0.0002270,-0.0002270,2022-10-03,2022-09,2022-10-03
TOI-1416 b,TOI-1416,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DEEG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230518542D/abstract target=ref>Deeg et al. 2023</a>,1.06975680,0.00000280,-0.00000280,0,0.019000,0.000300,-0.000300,0,1.620,0.080,-0.080,0,0.145,0.007,-0.007,0,3.48000,0.47000,-0.47000,0,0.01095,0.00148,-0.00148,0,Mass,0.000000,,,0,883.00,96.00,-96.00,0,1517,39,-39,0,0,<a refstr=DEEG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230518542D/abstract target=ref>Deeg et al. 2023</a>,G9 V,4884.00,70.00,-70.00,0,0.79,0.04,-0.03,0,0.80,0.04,-0.04,0,0.080,0.050,-0.050,0,[Fe/H],4.52,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h27m41.64s,216.9234892,+41d57m10.75s,41.9529862,55.0135000,0.0775000,-0.0772000,9.9100000,0.0300000,-0.0300000,7.7080000,0.0240000,-0.0240000,9.6525400,0.0002260,-0.0002260,2023-06-12,2023-05,2023-06-12
Kepler-414 b,Kepler-414,1,1,2,Transit Timing Variations,2014,Kepler,Published Confirmed,0,<a refstr=HADDEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787...80H/abstract target=ref> Hadden et al. 2014 </a>,4.70000000,,,0,,,,,1.710,0.310,-0.140,0,0.153,0.028,-0.012,0,3.50000,3.40000,-2.90000,0,0.01100,0.01100,-0.00900,0,Mass,,,,,,,,,,,,,1,<a refstr=HADDEN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787...80H/abstract target=ref> Hadden et al. 2014 </a>,,,,,,0.95,,,0,0.89,,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h51m50.77s,297.9615616,+48d14m39.61s,48.2443363,413.4600000,3.0230000,-2.9810000,13.3780000,0.2400000,-0.2400000,11.6980000,0.0200000,-0.0200000,13.3210000,0.0004060,-0.0004060,2014-05-28,2014-05,2014-05-28
Kepler-97 b,Kepler-97,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,2.58664000,,,0,,,,,1.480,0.130,-0.130,0,0.132,0.012,-0.012,0,3.51000,1.90000,-1.90000,0,0.01100,0.00600,-0.00600,0,Mass,,,,,,,,,,,,,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5779.00,74.00,-74.00,0,0.98,0.09,-0.09,0,0.94,0.06,-0.06,0,-0.200,0.070,-0.070,0,[Fe/H],4.43,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m18.37s,287.3265292,+48d40m24.04s,48.6733443,400.9070000,3.5520000,-3.4910000,12.9940000,0.0920000,-0.0920000,11.3450000,0.0260000,-0.0260000,12.8130000,0.0002190,-0.0002190,2014-05-14,2014-02,2014-05-14
Kepler-98 b,Kepler-98,1,1,1,Transit,2014,Kepler,Published Confirmed,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,1.54168000,,,0,,,,,1.990,0.220,-0.220,0,0.178,0.020,-0.020,0,3.55000,1.60000,-1.60000,0,0.01100,0.00500,-0.00500,0,Mass,,,,,,,,,,,,,0,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,5539.00,73.00,-73.00,0,1.11,0.12,-0.12,0,0.99,0.06,-0.06,0,0.180,0.070,-0.070,0,[Fe/H],4.34,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m38.81s,285.6616933,+37d57m52.44s,37.9645672,350.3150000,2.9780000,-2.9290000,12.9960000,0.0800000,-0.0800000,11.2530000,0.0170000,-0.0170000,12.8694000,0.0002550,-0.0002550,2014-05-14,2014-02,2014-05-14
TOI-1444 b,TOI-1444,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,0.47027430,0.00000110,-0.00000110,0,0.011600,0.000200,-0.000200,0,1.418,0.047,-0.041,0,0.126,0.004,-0.004,0,3.58000,0.76000,-0.75000,0,0.01126,0.00239,-0.00236,0,Mass,0.000000,,,0,,,,,2130,33,-33,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,5460.00,66.00,-66.00,0,0.91,0.02,-0.01,0,0.95,0.03,-0.03,0,0.146,0.057,-0.059,0,[Fe/H],4.50,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h21m53.98s,305.4749252,+70d56m37.34s,70.9437054,125.4630000,0.3370000,-0.3350000,10.9360000,0.0090000,-0.0090000,9.0610000,0.0210000,-0.0210000,10.6417000,0.0002610,-0.0002610,2024-07-23,2024-06,2024-07-23
Kepler-307 c,Kepler-307,1,1,2,Transit,2013,Kepler,Published Confirmed,0,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>,13.07290000,0.00120000,-0.00120000,0,,,,,2.200,0.070,-0.070,0,0.196,0.006,-0.006,0,3.64000,0.65000,-0.58000,0,0.01145,0.00205,-0.00182,0,Mass,,,,,44.00,3.70,-3.70,0,,,,,1,<a refstr=JONTOF_HUTTER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820...39J/abstract target=ref>Jontof-Hutter et al. 2016</a>,,5367.00,94.00,-94.00,0,0.81,0.02,-0.02,0,0.91,0.03,-0.03,0,0.190,0.100,-0.100,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h51m10.82s,297.7950939,+40d25m03.51s,40.4176403,575.5810000,5.2610000,-5.1670000,14.1490000,0.1030000,-0.1030000,12.3210000,0.0200000,-0.0200000,14.0561000,0.0002560,-0.0002560,2016-04-13,2016-03,2016-04-07
TOI-663 c,TOI-663,1,1,3,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=COINTEPAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..19C/abstract target=ref>Cointepas et al. 2024</a>,4.69555070,0.00000950,-0.00000940,0,0.043700,0.001600,-0.001600,0,2.260,0.100,-0.100,0,0.202,0.009,-0.009,0,3.65000,0.97000,-0.97000,0,0.01148,0.00305,-0.00305,0,Mass,,,,,22.30,4.20,-3.70,0,553,24,-24,0,0,<a refstr=COINTEPAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A..19C/abstract target=ref>Cointepas et al. 2024</a>,M1 V,3681.00,70.00,-70.00,0,0.51,0.01,-0.01,0,0.51,0.01,-0.01,0,0.070,0.120,-0.120,0,[Fe/H],4.73,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h40m15.80s,160.0658525,-08d30m39.90s,-8.5110827,64.2308000,0.1799000,-0.1799000,13.6670000,0.0230000,-0.0230000,9.6070000,0.0210000,-0.0210000,12.8191000,0.0005150,-0.0005150,2024-06-25,2024-05,2024-06-25
HD 21749 c,GJ 143,1,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,7.78993000,0.00051000,-0.00044000,0,0.069500,0.002100,-0.002300,0,0.892,0.064,-0.058,0,0.080,0.006,-0.005,0,3.70000,,,1,0.01164,,,1,Mass,,,,,,,,,701,25,-23,0,0,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,K4.5,4640.00,100.00,-100.00,0,0.69,0.03,-0.03,0,0.73,0.07,-0.07,0,0.003,0.060,-0.060,0,[Fe/H],4.61,0.05,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h27m00.05s,51.7501882,-63d30m00.60s,-63.5001660,16.3200000,0.0071000,-0.0071000,8.0800000,0.0300000,-0.0300000,5.3750000,0.0240000,-0.0240000,7.6790600,0.0002600,-0.0002600,2019-04-22,2019-04,2019-04-25
Kepler-289 b,Kepler-289,1,1,3,Transit,2014,Kepler,Published Confirmed,0,<a refstr=GREKLEK_MCKEON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...48G/abstract target=ref>Greklek-McKeon et al. 2023</a>,34.53830000,0.00060000,-0.00060000,0,,,,,2.490,0.070,-0.070,0,0.222,0.006,-0.006,0,3.70000,3.79000,-1.96000,0,0.01164,0.01192,-0.00617,0,Mass,,,,,,,,,,,,,1,<a refstr=SCHMITT_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...795..167S/abstract target=ref>Schmitt et al. 2014</a>,,5990.00,38.00,-38.00,0,1.00,0.02,-0.02,0,1.08,0.02,-0.02,0,0.050,0.040,-0.040,0,[Fe/H],4.47,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m51.68s,297.4653351,+42d52m58.27s,42.8828517,704.4380000,8.8090000,-8.8090000,14.1420000,0.0690000,-0.0690000,12.5080000,0.0220000,-0.0220000,13.9628000,0.0003650,-0.0003650,2024-09-13,2023-02,2024-09-13
TOI-286 c,TOI-286,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HOBSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240606278H/abstract target=ref>Hobson et al. 2024</a>,39.36182600,0.00007000,-0.00008100,0,0.213000,0.004200,-0.004200,0,1.880,0.120,-0.120,0,0.168,0.011,-0.011,0,3.72000,2.22000,-2.22000,0,0.01170,0.00698,-0.00698,0,Mass,0.000000,,,0,,,,,475,15,-15,0,0,<a refstr=HOBSON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240606278H/abstract target=ref>Hobson et al. 2024</a>,K3 V,5152.00,12.00,-12.00,0,0.78,0.04,-0.04,0,0.83,0.05,-0.05,0,-0.050,0.020,-0.020,0,[Fe/H],4.59,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h03m56.23s,90.9842762,-60d39m58.81s,-60.6663348,59.2293000,0.0748000,-0.0745000,9.8660000,0.0050000,-0.0050000,7.8510000,0.0330000,-0.0330000,9.6506400,0.0002740,-0.0002740,2024-08-30,2024-06,2024-08-30
Kepler-101 c,Kepler-101,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A...2B/abstract target=ref>Bonomo et al. 2014</a>,6.02976000,0.00007500,-0.00007500,0,0.068400,0.001400,-0.001400,0,1.250,0.190,-0.170,0,0.112,0.017,-0.015,0,3.78000,,,1,0.01000,,,1,Mass,0.000000,,,0,,,,,1413,238,-210,0,0,<a refstr=BONOMO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A...2B/abstract target=ref>Bonomo et al. 2014</a>,G3 IV,5667.00,50.00,-50.00,0,1.56,0.20,-0.20,0,1.17,0.07,-0.05,0,0.330,0.070,-0.070,0,[Fe/H],4.12,0.11,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h53m01.32s,283.2555070,+48d21m18.89s,48.3552474,927.9810000,14.7985000,-14.7985000,13.7000000,0.0690000,-0.0690000,12.0110000,0.0200000,-0.0200000,13.5672000,0.0002140,-0.0002140,2014-09-25,2014-12,2014-09-25
Kepler-128 b,Kepler-128,1,1,2,Transit,2013,Kepler,Published Confirmed,0,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,15.00000000,,,0,,,,,1.421,0.040,-0.040,0,0.127,0.004,-0.004,0,3.79000,0.76000,-0.66000,0,0.01192,0.00239,-0.00208,0,Mass,,,,,,,,,,,,,1,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,,6072.00,75.00,-75.00,0,1.66,0.04,-0.04,0,1.18,0.07,-0.07,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h49m58.14s,282.4922622,+43d58m48.88s,43.9802442,396.3790000,3.9470000,-3.8720000,11.6930000,0.0180000,-0.0180000,10.1090000,0.0110000,-0.0110000,11.2886000,0.0005630,-0.0005630,2024-06-10,2023-01,2024-06-10
Kepler-107 b,Kepler-107,1,1,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,3.18002180,0.00000290,-0.00000290,0,0.045440,0.000360,-0.000360,0,1.536,0.025,-0.025,0,0.137,0.002,-0.002,0,3.80000,1.80000,-1.70000,0,0.01196,0.00566,-0.00535,0,Mass,0.100000,,,1,1073.00,53.00,-53.00,0,1592,19,-19,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5854.00,61.00,-61.00,0,1.45,0.01,-0.01,0,1.24,0.03,-0.03,0,0.321,0.065,-0.065,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h48m06.76s,297.0281620,+48d12m30.97s,48.2086019,525.9970000,5.6970000,-5.5770000,12.5430000,0.0570000,-0.0570000,11.0600000,0.0160000,-0.0160000,12.4627000,0.0001570,-0.0001570,2023-04-17,2023-04,2023-04-17
