# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Dec  7 05:41:49 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
#
pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim
55 Cnc e,55 Cnc,1,0.73654740,0.00000130,-0.00000140,0,1.875,0.029,-0.029,0
55 Cnc f,55 Cnc,1,259.88000000,0.29000000,-0.29000000,0,,,,
6 Lyn b,6 Lyn,1,919.86000000,1.92000000,-3.71000000,0,,,,
61 Vir b,61 Vir,1,4.21500000,0.00060000,-0.00060000,0,,,,
61 Vir c,61 Vir,1,38.02100000,0.03400000,-0.03400000,0,,,,
61 Vir d,61 Vir,1,123.01000000,0.55000000,-0.55000000,0,,,,
7 CMa b,7 CMa,1,735.10000000,14.80000000,-1.00000000,0,,,,
7 CMa c,7 CMa,1,996.00000000,1.50000000,-52.40000000,0,,,,
70 Vir b,70 Vir,1,116.68800000,0.00540000,-0.00540000,0,,,,
75 Cet b,75 Cet,1,696.62000000,1.33000000,-1.69000000,0,,,,
75 Cet c,75 Cet,1,2051.62000000,45.98000000,-40.47000000,0,,,,
8 UMi b,8 UMi,1,93.40000000,4.50000000,-4.50000000,0,,,,
81 Cet b,81 Cet,1,1005.57000000,1.84000000,-1.94000000,0,,,,
91 Aqr b,91 Aqr,1,181.40000000,0.10000000,-0.10000000,0,,,,
AB Aur b,AB Aur,1,,,,,,,,
AB Pic b,AB Pic,1,,,,,,,,
AF Lep b,AF Lep,1,8030.00000000,1800.00000000,-1800.00000000,0,,,,
AU Mic b,AU Mic,1,8.46308000,0.00006000,-0.00006000,0,3.957,0.146,-0.146,0
AU Mic c,AU Mic,1,18.85969000,0.00008000,-0.00008000,0,2.522,0.247,-0.247,0
AU Mic d,AU Mic,1,12.73596000,0.00793000,-0.00793000,0,,,,
BD+03 2562 b,BD+03 2562,1,481.90000000,2.70000000,-2.80000000,0,,,,
BD+14 4559 b,BD+14 4559,1,268.94000000,0.99000000,-0.99000000,0,,,,
BD+15 2375 b,BD+15 2375,1,153.22000000,0.44000000,-0.44000000,0,,,,
BD+15 2940 b,BD+15 2940,1,137.48000000,0.34000000,-0.34000000,0,,,,
BD+20 2457 b,BD+20 2457,1,379.63000000,2.01000000,-2.01000000,0,,,,
BD+20 2457 c,BD+20 2457,1,621.99000000,10.20000000,-10.20000000,0,,,,
BD+20 274 b,BD+20 274,1,578.20000000,5.40000000,-5.40000000,0,,,,
BD+20 594 b,BD+20 594,1,41.68550000,0.00300000,-0.00300000,0,2.578,0.112,-0.112,0
BD+45 564 b,BD+45 564,1,307.88000000,1.47000000,-1.47000000,0,,,,
BD+48 738 b,BD+48 738,1,392.60000000,5.50000000,-5.50000000,0,,,,
BD+48 740 b,BD+48 740,1,733.00000000,5.00000000,-8.00000000,0,,,,
BD+49 828 b,BD+49 828,1,2590.00000000,300.00000000,-180.00000000,0,,,,
BD+55 362 b,BD+55 362,1,265.59000000,1.04000000,-1.04000000,0,,,,
BD+60 1417 b,BD+60 1417,1,,,,,14.684,0.673,-0.673,0
BD+63 1405 b,BD+63 1405,1,1198.48000000,60.79000000,-60.79000000,0,,,,
BD-06 1339 b,BD-06 1339,1,3.87280000,0.00040000,-0.00040000,0,,,,
BD-06 1339 c,BD-06 1339,1,125.94000000,0.44000000,-0.44000000,0,,,,
BD-08 2823 b,BD-08 2823,1,5.60000000,0.02000000,-0.02000000,0,,,,
BD-08 2823 c,BD-08 2823,1,237.60000000,1.50000000,-1.50000000,0,,,,
BD-10 3166 b,BD-10 3166,1,3.48777000,0.00011000,-0.00011000,0,,,,
BD-11 4672 b,BD-11 4672,1,1634.00000000,13.00000000,-14.00000000,0,,,,
BD-11 4672 c,BD-11 4672,1,74.20000000,0.06000000,-0.08000000,0,,,,
BD-13 2130 b,BD-13 2130,1,714.29999000,5.30000000,-5.30000000,0,,,,
BD-14 3065 b,BD-14 3065 A,1,4.28897310,0.00000520,-0.00000520,0,21.590,1.050,-1.050,0
BD-17 63 b,BD-17 63,1,655.57000000,0.58000000,-0.58000000,0,,,,
BD-210397 b,BD-210397,1,1891.00000000,56.00000000,-48.00000000,0,,,,
BD-210397 c,BD-210397,1,6240.00000000,151.00000000,-156.00000000,0,,,,
Barnard b,Barnard's star,1,3.15330000,0.00060000,-0.00060000,0,,,,
CD Cet b,CD Cet,1,2.29070000,0.00012000,-0.00012000,0,,,,
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,10037.50000000,2737.50000000,-2737.50000000,0,,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,8040000.00000000,470000.00000000,-470000.00000000,0,20.849,0.560,-0.560,0
CHXR 73 b,CHXR 73,1,,,,,,,,
CI Tau c,CI Tau,1,25.20000000,1.70000000,-1.80000000,0,,,,
COCONUTS-2 b,COCONUTS-2 A,1,,,,,12.442,0.336,-0.448,0
CT Cha b,CT Cha,1,,,,,24.660,9.080,-6.730,0
CoRoT-1 b,CoRoT-1,1,1.50895570,0.00000640,-0.00000640,0,16.700,0.900,-0.900,0
CoRoT-10 b,CoRoT-10,1,13.24060000,0.00020000,-0.00020000,0,10.870,0.780,-0.780,0
CoRoT-11 b,CoRoT-11,1,2.99433000,0.00001100,-0.00001100,0,16.030,0.340,-0.340,0
CoRoT-12 b,CoRoT-12,1,2.82804200,0.00001300,-0.00001300,0,16.140,1.460,-1.460,0
CoRoT-13 b,CoRoT-13,1,4.03519000,0.00003000,-0.00003000,0,9.920,0.157,-0.157,0
CoRoT-14 b,CoRoT-14,1,1.51214000,0.00013000,-0.00013000,0,12.220,0.780,-0.780,0
CoRoT-16 b,CoRoT-16,1,5.35227000,0.00020000,-0.00020000,0,13.110,1.790,-1.570,0
CoRoT-17 b,CoRoT-17,1,3.76810000,0.00030000,-0.00030000,0,11.430,0.780,-0.780,0
CoRoT-18 b,CoRoT-18,1,1.90006930,0.00000280,-0.00000280,0,14.680,2.020,-2.020,0
CoRoT-19 b,CoRoT-19,1,3.89713000,0.00002000,-0.00002000,0,14.460,0.340,-0.340,0
CoRoT-2 b,CoRoT-2,1,1.74299350,0.00000100,-0.00000100,0,16.432,0.471,-0.493,0
CoRoT-20 b,CoRoT-20,1,9.24285000,0.00030000,-0.00030000,0,,,,
CoRoT-20 c,CoRoT-20,1,1675.00000000,19.00000000,-17.00000000,0,,,,
CoRoT-21 b,CoRoT-21,1,2.72474000,0.00014000,-0.00014000,0,14.572,1.569,-1.569,0
CoRoT-22 b,CoRoT-22,1,9.75598000,0.00011000,-0.00011000,0,4.880,0.170,-0.390,0
CoRoT-23 b,CoRoT-23,1,3.63130000,0.00010000,-0.00010000,0,11.770,1.460,-1.460,0
CoRoT-24 b,CoRoT-24,1,5.11340000,0.00060000,-0.00060000,0,3.700,0.400,-0.400,0
CoRoT-24 c,CoRoT-24,1,11.75900000,0.00630000,-0.00630000,0,5.000,0.500,-0.500,0
CoRoT-25 b,CoRoT-25,1,4.86069000,0.00006000,-0.00006000,0,12.110,3.400,-1.120,0
CoRoT-26 b,CoRoT-26,1,4.20474000,0.00005000,-0.00005000,0,14.120,1.460,-0.780,0
CoRoT-27 b,CoRoT-27,1,3.57532000,0.00006000,-0.00006000,0,11.287,0.493,-0.493,0
CoRoT-28 b,CoRoT-28,1,5.20851000,0.00038000,-0.00038000,0,10.705,0.740,-0.740,0
CoRoT-29 b,CoRoT-29,1,2.85057000,0.00000600,-0.00000600,0,10.088,1.793,-1.793,0
CoRoT-3 b,CoRoT-3,1,4.25680000,0.00000500,-0.00000500,0,11.320,0.780,-0.780,0
CoRoT-30 b,CoRoT-30,1,9.06005000,0.00024000,-0.00024000,0,11.310,0.852,-0.852,0
CoRoT-31 b,CoRoT-31,1,4.62941000,0.00075000,-0.00075000,0,16.365,3.363,-3.363,0
CoRoT-35 b,CoRoT-35,1,3.22748000,0.00008000,-0.00008000,0,18.831,1.233,-1.233,0
CoRoT-36 b,CoRoT-36,1,5.61653100,0.00002300,-0.00002300,0,15.805,1.569,-1.569,0
CoRoT-4 b,CoRoT-4,1,9.20205000,0.00037000,-0.00037000,0,13.340,0.670,-0.560,0
CoRoT-5 b,CoRoT-5,1,4.03789620,0.00000190,-0.00000190,0,15.558,0.516,-0.527,0
CoRoT-6 b,CoRoT-6,1,8.88659300,0.00000400,-0.00000400,0,13.068,0.392,-0.392,0
CoRoT-7 b,CoRoT-7,1,0.85359163,0.00000001,-0.00000001,0,1.681,0.112,-0.112,0
CoRoT-7 c,CoRoT-7,1,3.69800000,0.00300000,-0.00300000,0,,,,
CoRoT-7 d,CoRoT-7,1,8.96600000,1.54600000,-1.54600000,0,,,,
CoRoT-8 b,CoRoT-8,1,6.21229000,0.00003000,-0.00003000,0,6.390,0.220,-0.220,0
CoRoT-9 b,CoRoT-9,1,95.27265600,0.00006800,-0.00006800,0,11.949,0.841,-0.706,0
CoRoTID 223977153 b,CoRoTID 223977153,1,6.71837000,0.00001000,-0.00001000,0,6.389,0.673,-0.560,0
DE CVn b,DE CVn,1,4098.10000000,131.50000000,-131.50000000,0,,,,
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,246.36000000,1.38000000,-1.35000000,0,,,,
DH Tau b,DH Tau,1,,,,,,,,
DMPP-1 b,DMPP-1,1,18.57000000,0.01000000,-0.01000000,0,,,,
DMPP-1 c,DMPP-1,1,6.58400000,0.00300000,-0.00200000,0,,,,
DMPP-1 d,DMPP-1,1,2.88200000,0.00100000,-0.00100000,0,,,,
DMPP-1 e,DMPP-1,1,5.51600000,0.00200000,-0.00400000,0,,,,
DMPP-2 b,DMPP-2,1,5.20720000,0.00020000,-0.00550000,0,,,,
DMPP-3 A b,DMPP-3 A,1,6.67320000,0.00110000,-0.00030000,0,,,,
DMPP-4 b,DMPP-4,1,3.49820000,0.00220000,-0.23270000,0,,,,
DP Leo b,DP Leo,1,10220.00000000,730.00000000,-730.00000000,0,,,,
DS Tuc A b,DS Tuc A,1,8.13826800,0.00001100,-0.00001100,0,5.700,0.170,-0.170,0
EPIC 201170410.02,EPIC 201170410,1,6.79870000,0.00010000,-0.00010000,0,1.047,0.276,-0.257,0
EPIC 201238110 b,EPIC 201238110,1,28.16560000,0.00270000,-0.00280000,0,1.870,0.200,-0.450,0
EPIC 201427007 b,EPIC 201427007,1,0.72091000,0.00014000,-0.00014000,0,1.500,0.200,-0.200,0
EPIC 201497682 b,EPIC 201497682,1,2.13174000,0.00022000,-0.00022000,0,0.692,0.059,-0.048,0
EPIC 201595106 b,EPIC 201595106,1,0.87721400,0.00006000,-0.00006000,0,1.300,0.100,-0.100,0
EPIC 201615463 c,K2-166,1,3.80464000,0.00091000,-0.00105000,0,1.220,0.210,-0.170,0
EPIC 201754305 d,K2-16,1,2.71578000,0.00031000,-0.00031000,0,1.030,0.085,-0.086,0
EPIC 201757695.02,EPIC 201757695,1,2.04780000,0.00010000,-0.00010000,0,0.908,0.059,-0.064,0
EPIC 201833600 c,K2-50,1,3.96151000,0.00046000,-0.00051000,0,1.000,0.120,-0.110,0
EPIC 201841433 b,EPIC 201841433,1,4.16980000,0.00010000,-0.00010000,0,1.040,0.037,-0.032,0
EPIC 205950854 c,K2-168,1,8.05072200,0.00007500,-0.00003800,0,1.310,0.144,-0.063,0
EPIC 206024342 b,EPIC 206024342,1,4.50756000,0.00062000,-0.00060000,0,1.700,0.590,-0.310,0
EPIC 206024342 c,EPIC 206024342,1,0.91172400,0.00007600,-0.00007600,0,1.400,0.500,-0.500,0
EPIC 206024342 d,EPIC 206024342,1,14.64753100,0.00000410,-0.00000410,0,2.600,0.900,-0.900,0
EPIC 206032309 b,EPIC 206032309,1,2.87814000,0.00023000,-0.00026000,0,1.010,0.240,-0.130,0
EPIC 206042996 b,EPIC 206042996,1,5.29860000,0.00060000,-0.00060000,0,1.700,0.200,-0.200,0
EPIC 206042996 c,EPIC 206042996,1,0.35488400,0.00006300,-0.00006300,0,1.200,0.200,-0.100,0
EPIC 206215704 b,EPIC 206215704,1,2.25543600,0.00009100,-0.00009100,0,1.000,0.100,-0.090,0
EPIC 206317286 b,EPIC 206317286,1,1.58252000,0.00017000,-0.00018000,0,0.960,0.110,-0.150,0
EPIC 206317286 c,EPIC 206317286,1,17.51547200,0.00228800,-0.00296500,0,2.094,0.176,-0.160,0
EPIC 211822797 b,EPIC 211822797,1,21.17019630,0.00006620,-0.00006420,0,1.920,0.120,-0.070,0
EPIC 211945201 b,EPIC 211945201,1,19.49221000,0.00066600,-0.00065300,0,5.760,0.300,-0.300,0
EPIC 212297394 b,EPIC 212297394,1,2.28936300,0.00023200,-0.00025100,0,1.480,0.130,-0.110,0
EPIC 212297394 c,EPIC 212297394,1,5.21396500,0.00044200,-0.00044200,0,2.270,0.190,-0.140,0
EPIC 212424622 b,EPIC 212424622,1,18.09830000,0.00600000,-0.00580000,0,2.170,0.670,-0.420,0
EPIC 212499991 b,EPIC 212499991,1,34.88500000,0.01100000,-0.01000000,0,1.600,0.130,-0.160,0
EPIC 212587672 b,EPIC 212587672,1,15.28078000,0.00012100,-0.00011600,0,1.260,0.110,-0.090,0
EPIC 212587672 c,EPIC 212587672,1,23.22855500,0.00006800,-0.00007100,0,2.320,0.190,-0.120,0
EPIC 212624936 b,EPIC 212624936,1,0.57865700,0.00001600,-0.00001600,0,1.200,0.300,-0.300,0
EPIC 212624936 c,EPIC 212624936,1,11.81143700,0.00011000,-0.00011000,0,2.300,0.500,-0.500,0
EPIC 212737443 b,EPIC 212737443,1,13.60300000,0.00130000,-0.00130000,0,2.586,0.126,-0.126,0
EPIC 212737443 c,EPIC 212737443,1,65.55000000,0.00890000,-0.00890000,0,2.690,0.146,-0.146,0
EPIC 220492298 b,EPIC 220492298,1,0.76240600,0.00015000,-0.00015000,0,0.990,0.100,-0.100,0
EPIC 220554210 c,K2-282,1,0.70531000,0.00003700,-0.00003700,0,1.600,0.100,-0.100,0
EPIC 220674823 b,EPIC 220674823,1,0.57129200,0.00001200,-0.00001200,0,1.725,0.039,-0.039,0
EPIC 220674823 c,EPIC 220674823,1,13.33970000,0.00096000,-0.00096000,0,2.836,0.086,-0.073,0
EPIC 228836835 b,EPIC 228836835,1,0.72811300,0.00006300,-0.00006300,0,1.100,0.300,-0.200,0
EPIC 229004835 b,EPIC 229004835,1,16.14113200,0.00001900,-0.00001900,0,2.332,0.080,-0.094,0
EPIC 246851721 b,EPIC 246851721,1,6.18023500,0.00001400,-0.00001400,0,11.781,0.493,-0.493,0
EPIC 248847494 b,EPIC 248847494,1,3650.00000000,1280.00000000,-1130.00000000,0,12.442,0.785,-0.785,0
EPIC 249893012 b,EPIC 249893012,1,3.59510000,0.00030000,-0.00030000,0,1.950,0.090,-0.080,0
EPIC 249893012 c,EPIC 249893012,1,15.62400000,0.00100000,-0.00100000,0,3.670,0.170,-0.140,0
EPIC 249893012 d,EPIC 249893012,1,35.74700000,0.00500000,-0.00500000,0,3.940,0.130,-0.120,0
FU Tau b,FU Tau,1,,,,,,,,
G 196-3 b,G 196-3,1,,,,,,,,
G 264-012 b,G 264-012,1,2.30538000,0.00031000,-0.00031000,0,,,,
G 264-012 c,G 264-012,1,8.05180000,0.00340000,-0.00340000,0,,,,
G 9-40 b,G 9-40,1,5.74599820,0.00000200,-0.00000200,0,1.900,0.065,-0.065,0
GJ 1002 b,GJ 1002,1,10.34650000,0.02700000,-0.02700000,0,,,,
GJ 1002 c,GJ 1002,1,21.20200000,0.01300000,-0.01300000,0,,,,
GJ 1061 b,GJ 1061,1,3.20400000,0.00100000,-0.00100000,0,,,,
GJ 1061 c,GJ 1061,1,6.68900000,0.00500000,-0.00500000,0,,,,
GJ 1061 d,GJ 1061,1,13.03100000,0.02500000,-0.03200000,0,,,,
GJ 1132 b,GJ 1132,1,1.62892911,0.00000029,-0.00000030,0,1.192,0.038,-0.045,0
GJ 1132 c,GJ 1132,1,8.92900000,0.01000000,-0.01000000,0,,,,
GJ 1148 b,GJ 1148,1,41.38000000,0.00200000,-0.00100000,0,,,,
GJ 1148 c,GJ 1148,1,532.58000000,4.14000000,-2.52000000,0,,,,
GJ 1151 c,GJ 1151,1,389.70000000,5.40000000,-6.50000000,0,,,,
GJ 1214 b,GJ 1214,1,1.58040453,0.00000002,-0.00000002,0,2.733,0.033,-0.031,0
GJ 1252 b,GJ 1252,1,0.51823310,0.00000840,-0.00000840,0,1.193,0.074,-0.074,0
GJ 1265 b,GJ 1265,1,3.65110000,0.00120000,-0.00120000,0,,,,
GJ 143 b,GJ 143,1,35.61253000,0.00060000,-0.00062000,0,2.610,0.170,-0.160,0
GJ 15 A b,GJ 15 A,1,11.44070000,0.00170000,-0.00160000,0,,,,
GJ 15 A c,GJ 15 A,1,7600.00000000,2200.00000000,-1700.00000000,0,,,,
GJ 160.2 b,GJ 160.2,1,5.23540000,0.00270000,-0.00650000,0,,,,
GJ 163 b,GJ 163,1,8.63182000,0.00155000,-0.00155000,0,,,,
GJ 163 c,GJ 163,1,25.63058000,0.02550000,-0.02550000,0,,,,
GJ 163 d,GJ 163,1,603.95116000,7.55862000,-7.55862000,0,,,,
GJ 179 b,GJ 179,1,2288.00000000,59.00000000,-59.00000000,0,,,,
GJ 180 b,GJ 180,1,17.13300000,0.00300000,-0.00300000,0,,,,
GJ 180 c,GJ 180,1,24.32900000,0.05200000,-0.06600000,0,,,,
GJ 180 d,GJ 180,1,106.30000000,0.12900000,-0.12900000,0,,,,
GJ 2030 b,GJ 2030,1,2.38129000,0.00015000,-0.00013000,0,,,,
GJ 2030 c,GJ 2030,1,25533.11353000,2549.01187000,-2322.57168000,0,,,,
GJ 2056 b,GJ 2056,1,69.97100000,0.06100000,-0.06100000,0,,,,
GJ 229 A c,GJ 229,1,121.93268000,0.06708000,-0.08158000,0,,,,
GJ 229 b,GJ 229,1,579.47495000,1.67942000,-1.41414000,0,,,,
GJ 238 b,GJ 238,1,1.74469990,0.00000190,-0.00000180,0,0.566,0.014,-0.014,0
GJ 251 b,GJ 251,1,14.23800000,0.00200000,-0.00200000,0,,,,
GJ 27.1 b,GJ 27.1,1,15.81900000,0.02300000,-0.02600000,0,,,,
GJ 273 b,GJ 273,1,18.64980000,0.00590000,-0.00520000,0,,,,
GJ 273 c,GJ 273,1,4.72340000,0.00040000,-0.00040000,0,,,,
GJ 3021 b,GJ 3021,1,133.71000000,0.20000000,-0.20000000,0,,,,
GJ 3082 b,GJ 3082,1,11.94900000,0.02200000,-0.02200000,0,,,,
GJ 3090 b,GJ 3090,1,2.85310540,0.00000230,-0.00000230,0,2.130,0.110,-0.110,0
GJ 3138 b,GJ 3138,1,1.22003000,0.00006000,-0.00004000,0,,,,
GJ 3138 c,GJ 3138,1,5.97400000,0.00100000,-0.00100000,0,,,,
GJ 3138 d,GJ 3138,1,257.80000000,3.60000000,-3.50000000,0,,,,
GJ 317 b,GJ 317,1,695.66000000,0.35500000,-0.35500000,0,,,,
GJ 317 c,GJ 317,1,6739.32300000,143.10600000,-143.10600000,0,,,,
GJ 3222 b,GJ 3222,1,10.66669000,0.00285000,-0.00231000,0,,,,
GJ 328 b,GJ 328,1,3771.00000000,17.00000000,-17.00000000,0,,,,
GJ 328 c,GJ 328,1,241.80000000,1.30000000,-1.70000000,0,,,,
GJ 3293 b,GJ 3293,1,30.59870000,0.00830000,-0.00840000,0,,,,
GJ 3293 c,GJ 3293,1,122.61960000,0.24290000,-0.23710000,0,,,,
GJ 3293 d,GJ 3293,1,48.13450000,0.06280000,-0.06610000,0,,,,
GJ 3293 e,GJ 3293,1,13.25430000,0.00780000,-0.01040000,0,,,,
GJ 3323 b,GJ 3323,1,5.36360000,0.00070000,-0.00070000,0,,,,
GJ 3323 c,GJ 3323,1,40.54000000,0.21000000,-0.19000000,0,,,,
GJ 3341 b,GJ 3341,1,14.20700000,0.00700000,-0.00700000,0,,,,
GJ 338 B b,GJ 338 B,1,24.42200000,0.01400000,-0.01400000,0,,,,
GJ 3470 b,GJ 3470,1,3.33664960,0.00000390,-0.00000330,0,4.570,0.180,-0.180,0
GJ 3473 b,GJ 3473,1,1.19800350,0.00000180,-0.00000190,0,1.264,0.050,-0.049,0
GJ 3473 c,GJ 3473,1,15.50900000,0.03300000,-0.03300000,0,,,,
GJ 3512 b,GJ 3512,1,203.69000000,0.09000000,-0.02000000,0,,,,
GJ 3512 c,GJ 3512,1,1599.60000000,1.10000000,-0.80000000,0,,,,
GJ 357 b,GJ 357,1,3.93060000,0.00000200,-0.00000200,0,1.200,0.060,-0.060,0
GJ 357 c,GJ 357,1,9.12470000,0.00110000,-0.00100000,0,,,,
GJ 357 d,GJ 357,1,55.66100000,0.05500000,-0.05500000,0,,,,
GJ 3634 b,GJ 3634,1,2.64561000,0.00066000,-0.00066000,0,,,,
GJ 367 b,GJ 367,1,0.32192250,0.00000020,-0.00000020,0,0.699,0.024,-0.024,0
GJ 367 c,GJ 367,1,11.53010000,0.00780000,-0.00780000,0,,,,
GJ 367 d,GJ 367,1,34.36900000,0.07300000,-0.07300000,0,,,,
GJ 3779 b,GJ 3779,1,3.02320000,0.00130000,-0.00130000,0,,,,
GJ 3929 b,GJ 3929,1,2.61623500,0.00000500,-0.00000500,0,1.090,0.040,-0.040,0
GJ 3929 c,GJ 3929,1,15.04000000,0.03000000,-0.03000000,0,,,,
GJ 393 b,GJ 393,1,7.02679000,0.00082000,-0.00085000,0,,,,
GJ 3942 b,GJ 3942,1,6.90500000,0.04000000,-0.04000000,0,,,,
GJ 3988 b,GJ 3988,1,6.94420000,0.00100000,-0.00100000,0,,,,
GJ 3998 b,GJ 3998,1,2.64977000,0.00081000,-0.00077000,0,,,,
GJ 3998 c,GJ 3998,1,13.74000000,0.01600000,-0.01600000,0,,,,
GJ 411 b,GJ 411,1,12.93940000,0.00140000,-0.00130000,0,,,,
GJ 414 A b,GJ 414 A,1,50.80000000,0.10000000,-0.26000000,0,2.630,1.220,-0.850,0
GJ 414 A c,GJ 414 A,1,749.83000000,4.35000000,-3.63000000,0,8.400,3.600,-2.500,0
GJ 422 b,GJ 422,1,20.12900000,0.00500000,-0.00500000,0,,,,
GJ 4276 b,GJ 4276,1,13.35200000,0.00300000,-0.00300000,0,,,,
GJ 433 b,GJ 433,1,7.37050000,0.00050000,-0.00050000,0,,,,
GJ 433 c,GJ 433,1,5094.10500000,608.61700000,-608.61700000,0,,,,
GJ 433 d,GJ 433,1,36.05900000,0.01600000,-0.01600000,0,,,,
GJ 436 b,GJ 436,1,2.64388312,0.00000057,-0.00000057,0,4.170,0.168,-0.168,0
GJ 463 b,GJ 463,1,3448.00000000,110.00000000,-88.00000000,0,,,,
GJ 480 b,GJ 480,1,9.56700000,0.00500000,-0.00500000,0,,,,
GJ 486 b,GJ 486,1,1.46712127,0.00000031,-0.00000035,0,1.289,0.019,-0.014,0
GJ 504 b,GJ 504,1,,,,,,,,
GJ 514 b,GJ 514,1,140.43000000,0.41000000,-0.41000000,0,,,,
GJ 536 b,GJ 536,1,8.70760000,0.00220000,-0.00250000,0,,,,
GJ 581 b,GJ 581,1,5.36860000,0.00010000,-0.00010000,0,,,,
GJ 581 c,GJ 581,1,12.91400000,0.00200000,-0.00200000,0,,,,
GJ 581 e,GJ 581,1,3.14900000,0.00020000,-0.00020000,0,,,,
