# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb 18 08:21:10 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr < 1
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and pl_eqtstr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and sy_kmagstr not null)
# CONSTRAINT:  order by pl_eqt asc
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN sy_tmagerr2:    TESS Magnitude Lower Unc
#
pl_name,default_flag,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,sy_dist,sy_disterr1,sy_disterr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2
TOI-1685 b,1,0,<a refstr=BURT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240514895B/abstract target=ref>Burt et al. 2024</a>,0.66913924,0.00000042,-0.00000042,0,0.011380,0.000350,-0.000340,0,1.468,0.050,-0.051,0,3.03000,0.33000,-0.32000,0,0.00953,0.00104,-0.00101,0,0.000000,,,0,236.00,15.00,-15.00,0,1062,27,-27,0,3575.00,53.00,-53.00,0,0.46,0.01,-0.01,0,0.45,0.02,-0.02,0,0.300,0.100,-0.100,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,37.6153000,0.0728000,-0.0725000,8.7580000,0.0200000,-0.0200000,12.2956000,0.0003080,-0.0003080,11.1117000,0.0072649,-0.0072649
TOI-1442 b,1,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.40906770,0.00000030,-0.00000030,0,0.007100,0.000200,-0.000200,0,1.170,0.060,-0.060,0,,,,,,,,,,,,,,,,,1072,54,-54,0,3330.00,160.00,-160.00,0,0.31,0.01,-0.01,0,0.29,0.02,-0.02,0,,,,,4.92,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,41.1659000,0.0618000,-0.0615000,10.0890000,0.0200000,-0.0200000,13.7652000,0.0004850,-0.0004850,12.4934000,0.0074773,-0.0074773
K2-147 b,1,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,0.96193900,0.00002900,-0.00002900,0,0.015750,0.000260,-0.000270,0,1.473,0.111,-0.099,0,,,,,,,,,0.380000,0.260000,-0.220000,0,,,,,1077,93,-92,0,3690.00,300.00,-300.00,0,0.58,0.03,-0.03,0,0.56,0.03,-0.03,0,-0.020,0.960,-1.000,0,4.67,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,90.5494000,0.2767000,-0.2750000,9.9970000,0.0210000,-0.0210000,13.1913000,0.0005370,-0.0005370,12.1427000,0.0073057,-0.0073057
KOI-4777.01,1,0,<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163....3C/abstract target=ref>Ca&ntilde;as et al. 2022</a>,0.41200000,0.00000100,-0.00000100,0,0.008000,0.000300,-0.000300,0,0.510,0.030,-0.030,0,99.20000,,,1,0.31212,,,1,0.000000,,,0,320.00,20.00,-20.00,0,1180,20,-20,0,3515.00,69.00,-69.00,0,0.40,0.01,-0.01,0,0.41,0.02,-0.02,0,0.100,0.100,-0.100,0,4.77,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,172.2450000,1.2430000,-1.2260000,12.4490000,0.0180000,-0.0180000,15.8525000,0.0006100,-0.0006100,14.7079000,0.0074496,-0.0074496
NGTS-6 b,1,0,<a refstr=VINES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.4125V/abstract target=ref>Vines et al. 2019</a>,0.88205900,0.00000080,-0.00000080,0,0.016770,0.000320,-0.000320,0,14.863,1.087,-1.255,0,425.57437,8.89924,-8.89924,0,1.33900,0.02800,-0.02800,0,0.000000,,,0,,,,,1284,12,-12,0,4730.00,44.00,-40.00,0,0.75,0.01,-0.01,0,0.77,0.03,-0.03,0,0.110,0.090,-0.090,0,4.70,1.10,-0.70,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,308.2620000,1.4180000,-1.4070000,11.6500000,0.0320000,-0.0320000,13.8175000,0.0005770,-0.0005770,13.1686000,0.0062000,-0.0062000
TOI-1075 b,1,0,<a refstr=ESSACK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221014901E/abstract target=ref>Essack et al. 2022</a>,0.60473280,0.00000320,-0.00000320,0,0.011590,0.000230,-0.000200,0,1.791,0.116,-0.081,0,9.95000,1.36000,-1.30000,0,0.03131,0.00428,-0.00409,0,0.000000,,,0,509.20,18.70,-20.40,0,1323,44,-44,0,3875.00,75.00,-75.00,0,0.58,0.02,-0.02,0,0.60,0.03,-0.03,0,-0.080,0.090,-0.090,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,61.4592000,0.0943500,-0.0943500,9.1150000,0.0230000,-0.0230000,12.0544000,0.0002320,-0.0002320,11.1186000,0.0072581,-0.0072581
NGTS-10 b,1,0,<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>,0.76689440,0.00000030,-0.00000030,0,0.014300,0.001000,-0.001000,0,13.507,1.311,-0.930,0,687.14846,29.24036,-34.00781,0,2.16200,0.09200,-0.10700,0,0.000000,,,0,,,,,1332,49,-54,0,4600.00,150.00,-150.00,0,0.70,0.04,-0.04,0,0.70,0.04,-0.04,0,-0.020,0.120,-0.120,0,4.59,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,11.7280000,0.0250000,-0.0250000,14.2604000,0.0033770,-0.0033770,13.6050000,0.0074000,-0.0074000
TOI-2411 b,1,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.78269420,0.00000370,-0.00000370,0,0.014400,0.000100,-0.000100,0,1.680,0.110,-0.110,0,,,,,,,,,,,,,,,,,1355,45,-45,0,4099.00,123.00,-123.00,0,0.68,0.02,-0.02,0,0.65,0.02,-0.02,0,,,,,4.59,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,59.5362000,0.2878000,-0.2852000,8.5320000,0.0230000,-0.0230000,11.2198000,0.0007840,-0.0007840,10.4238000,0.0061000,-0.0061000
TOI-4527.01,1,0,<a refstr=HORD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..233H/abstract target=ref>Hord et al. 2024</a>,0.39944450,,,0,0.008332,,,0,0.909,0.953,-0.953,0,,,,,,,,,,,,,571.51,,,0,1363,,,0,3702.00,,,0,0.49,,,0,0.48,,,0,,,,,4.75,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18.1037000,0.0174000,-0.0174000,7.0200000,0.0180000,-0.0180000,10.1927000,0.0008480,-0.0008480,9.1676400,0.0073455,-0.0073455
GJ 367 b,1,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,0.32192250,0.00000020,-0.00000020,0,0.007090,0.000270,-0.000270,0,0.699,0.024,-0.024,0,0.63300,0.05000,-0.05000,0,0.00199,0.00016,-0.00016,0,0.060000,0.070000,-0.040000,0,579.00,57.00,-52.00,0,1365,32,-32,0,3522.00,70.00,-70.00,0,0.46,0.01,-0.01,0,0.46,0.01,-0.01,0,-0.010,0.120,-0.120,0,4.78,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.4126300,0.0028350,-0.0028350,5.7800000,0.0200000,-0.0200000,9.1515900,0.0006500,-0.0006500,8.0319410,0.0074304,-0.0074304
HIP 65 A b,1,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,0.98097340,0.00000310,-0.00000310,0,0.017820,0.000200,-0.000210,0,22.754,6.837,-5.492,0,1021.18779,24.79074,-24.79074,0,3.21300,0.07800,-0.07800,0,0.000000,,,0,661.00,28.00,-29.00,0,1411,15,-15,0,4590.00,49.00,-49.00,0,0.72,0.01,-0.01,0,0.78,0.03,-0.03,0,0.180,0.080,-0.080,0,4.61,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,61.7856000,0.0806000,-0.0804000,8.2900000,0.0250000,-0.0250000,10.5895000,0.0004460,-0.0004460,9.9005000,0.0060000,-0.0060000
K2-266 b,1,0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,0.65852400,0.00001700,-0.00001700,0,0.013060,0.000200,-0.000210,0,3.300,1.800,-1.300,0,11.26782,11.37120,-11.37120,0,0.03545,0.03578,-0.03578,0,,,,,879.50,43.40,-40.40,0,1515,18,-18,0,4285.00,49.00,-57.00,0,0.70,0.02,-0.02,0,0.69,0.03,-0.03,0,-0.120,0.400,-0.420,0,4.58,0.03,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,77.5586000,0.3581000,-0.3549000,8.8970000,0.0230000,-0.0230000,11.3527000,0.0008590,-0.0008590,10.6269000,0.0061000,-0.0061000
Kepler-1834 c,1,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.76669152,0.00000127,-0.00000127,0,0.015000,,,0,1.220,0.050,-0.080,0,,,,,,,,,0.000000,,,0,1334.22,188.87,-238.99,0,1541,,,0,4821.00,76.00,-76.00,0,0.79,0.03,-0.05,0,0.77,0.05,-0.03,0,0.160,0.150,-0.150,0,4.53,0.06,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,500.3950000,8.3260000,-8.0630000,12.7220000,0.0380000,-0.0380000,14.9047000,0.0003090,-0.0003090,14.2644000,0.0062000,-0.0062000
Kepler-290 d,1,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.76401755,0.00000377,-0.00000377,0,0.015400,,,0,0.860,0.120,-0.070,0,,,,,,,,,0.000000,,,0,1503.79,649.53,-390.73,0,1589,,,0,5142.00,153.00,-153.00,0,0.76,0.10,-0.07,0,0.84,0.07,-0.09,0,-0.060,0.300,-0.300,0,4.60,0.03,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,694.6270000,14.5180000,-13.9460000,13.4520000,0.0380000,-0.0380000,15.5648000,0.0004860,-0.0004860,14.9548000,0.0066000,-0.0066000
TOI-500 b,1,0,<a refstr=SERRANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...95S/abstract target=ref>Serrano et al. 2022</a>,0.54817700,0.00001900,-0.00001900,0,0.011890,0.000410,-0.000400,0,1.166,0.061,-0.058,0,1.42000,0.18000,-0.18000,0,0.00447,0.00057,-0.00057,0,0.063000,0.073000,-0.044000,0,1138.00,123.00,-112.00,0,1617,41,-41,0,4440.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.74,0.02,-0.02,0,0.120,0.080,-0.080,0,4.62,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,47.3924000,0.0473000,-0.0473000,7.7150000,0.0260000,-0.0260000,10.1026000,0.0003080,-0.0003080,9.4022000,0.0060000,-0.0060000
TOI-1807 b,1,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,0.54937097,0.00000072,-0.00000072,0,0.012200,0.000200,-0.000200,0,1.497,0.081,-0.068,0,2.44000,0.60000,-0.57000,0,0.00768,0.00189,-0.00179,0,0.000000,,,0,,,,,1694,32,-32,0,4914.00,60.00,-58.00,0,0.75,0.02,-0.02,0,0.80,0.02,-0.03,0,0.044,0.088,-0.095,0,4.60,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,42.5775000,0.0622000,-0.0620000,7.5680000,9.9950000,-9.9950000,9.6751700,0.0002920,-0.0002920,9.0363000,0.0060000,-0.0060000
Kepler-1814 c,1,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.62628177,0.00000104,-0.00000104,0,0.013300,,,0,1.760,0.130,-0.180,0,,,,,,,,,0.000000,,,0,2011.27,650.70,-604.94,0,1711,,,0,4922.00,169.00,-169.00,0,0.82,0.06,-0.09,0,0.79,0.07,-0.05,0,0.200,0.200,-0.300,0,4.50,0.08,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,726.3460000,15.2670000,-14.6610000,13.3930000,0.0430000,-0.0430000,15.6070000,0.0005360,-0.0005360,14.9440000,0.0069000,-0.0069000
TOI-3261 b,1,0,<a refstr=NABBIE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240704225N/abstract target=ref>Nabbie et al. 2024</a>,0.88313310,0.00000100,-0.00000100,0,0.017140,0.000130,-0.000200,0,3.820,0.420,-0.350,0,30.30000,2.20000,-2.40000,0,0.09533,0.00692,-0.00755,0,0.000000,,,0,1466.00,92.00,-60.00,0,1722,26,-18,0,5068.00,61.00,-42.00,0,0.85,0.02,-0.02,0,0.86,0.02,-0.03,0,0.138,0.048,-0.037,0,4.19,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,300.1410000,1.0820000,-1.0740000,11.1840000,0.0250000,-0.0250000,13.0582000,0.0003290,-0.0003290,12.4923000,0.0060000,-0.0060000
HD 3167 b,1,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.95964100,0.00001100,-0.00001100,0,0.017960,0.000370,-0.000310,0,1.670,0.170,-0.100,0,4.97000,0.24000,-0.23000,0,0.01564,0.00076,-0.00072,0,0.000000,,,0,1650.00,110.00,-110.00,0,1774,29,-29,0,5261.00,60.00,-60.00,0,0.88,0.01,-0.01,0,0.84,0.05,-0.04,0,0.040,0.050,-0.050,0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,47.2899000,0.1485000,-0.1475000,7.0660000,0.0200000,-0.0200000,8.7622100,0.0002650,-0.0002650,8.2491000,0.0060000,-0.0060000
TOI-431 b,1,0,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2782O/abstract target=ref>Osborn et al. 2021</a>,0.49004700,0.00001000,-0.00000700,0,0.011300,0.000200,-0.000300,0,1.280,0.040,-0.040,0,3.07000,0.35000,-0.35000,0,0.00966,0.00110,-0.00110,0,0.000000,,,0,,,,,1862,42,-42,0,4850.00,75.00,-75.00,0,0.73,0.02,-0.02,0,0.78,0.07,-0.07,0,0.200,0.050,-0.050,0,4.60,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,32.5686000,0.0312000,-0.0311000,6.7230000,0.0210000,-0.0210000,8.7917100,0.0005430,-0.0005430,8.1705000,0.0060000,-0.0060000
TOI-332 b,1,0,<a refstr=OSBORN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230812137O/abstract target=ref>Osborn et al. 2023</a>,0.77703800,0.00000100,-0.00000100,0,0.015900,0.000100,-0.000100,0,3.200,0.160,-0.110,0,57.20000,1.60000,-1.60000,0,0.17997,0.00503,-0.00503,0,0.000000,,,0,,,,,1871,30,-25,0,5251.00,71.00,-71.00,0,0.87,0.03,-0.02,0,0.88,0.02,-0.02,0,0.256,0.048,-0.048,0,4.46,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,222.8520000,3.7500000,-3.6290000,10.3150000,0.0210000,-0.0210000,12.0630000,0.0002460,-0.0002460,11.5273000,0.0060000,-0.0060000
K2-211 b,1,0,<a refstr=THYGESEN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..155T/abstract target=ref>Thygesen et al. 2023</a>,0.66956100,0.00003100,-0.00003200,0,0.014190,0.000210,-0.000200,0,1.332,0.087,-0.072,0,,,,,,,,,0.190000,0.300000,-0.140000,0,,,,,1873,22,-21,0,5117.00,85.00,-86.00,0,0.82,0.03,-0.03,0,0.85,0.04,-0.04,0,0.134,0.077,-0.078,0,4.54,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,272.2970000,4.1790000,-4.0570000,11.1040000,0.0240000,-0.0240000,12.9329000,0.0004910,-0.0004910,12.3830000,0.0072000,-0.0072000
LTT 9779 b,1,0,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,0.79205200,0.00000930,-0.00000930,0,0.016790,0.000140,-0.000120,0,4.720,0.230,-0.230,0,29.32000,0.78000,-0.81000,0,0.09225,0.00245,-0.00255,0,0.000000,,,0,,,,,1978,19,-19,0,5443.00,14.00,-13.00,0,0.95,0.01,-0.01,0,0.77,0.29,-0.21,0,0.270,0.030,-0.030,0,4.35,0.16,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,80.4373000,0.3174000,-0.3150000,8.0160000,0.0290000,-0.0290000,9.6000600,0.0002900,-0.0002900,9.1031000,0.0060000,-0.0060000
EPIC 201595106 b,1,0,<a refstr=LIVINGSTON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatSR..1427219L/abstract target=ref>Livingston et al. 2024</a>,0.87724000,0.00004000,-0.00004000,0,0.017700,0.000300,-0.000300,0,1.565,0.079,-0.079,0,7.67000,0.75000,-0.75000,0,0.02413,0.00236,-0.00236,0,0.000000,,,0,2852.00,107.00,-107.00,0,2038,39,-39,0,5679.00,60.00,-39.00,0,0.98,0.03,-0.03,0,0.96,0.05,-0.05,0,0.010,0.100,-0.100,0,4.43,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,232.1000000,2.7060000,-2.6460000,10.2180000,0.0210000,-0.0210000,11.6477000,0.0002450,-0.0002450,11.2023000,0.0061000,-0.0061000
HATS-18 b,1,0,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,0.83784000,0.00000047,-0.00000047,0,0.017400,0.000980,-0.000980,0,14.897,0.841,-0.841,0,629.14449,24.15508,-24.15508,0,1.97950,0.07600,-0.07600,0,,,,,,,,,2069,45,-45,0,5600.00,120.00,-120.00,0,1.02,0.06,-0.03,0,1.04,0.05,-0.05,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,624.3680000,16.1470000,-15.3660000,12.2890000,0.0280000,-0.0280000,13.8786000,0.0006130,-0.0006130,13.3898000,0.0075000,-0.0075000
