# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun  8 13:48:33 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,sy_dist,sy_disterr1,sy_disterr2
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,,,,,84.0000000000,,,0,,,,,4131.79000000,317.83000000,-317.83000000,0,Mass,,,,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,,,,,52.0000000000,6.0000000000,-6.0000000000,0,,,,,7786.50000000,794.50000000,-794.50000000,0,Mass,,,,,33.82810000,0.08640000,-0.08600000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,,,,,156.0000000000,10.0000000000,-10.0000000000,0,16.14096000,0.33627000,-0.33627000,0,4417.83700000,349.61300000,-349.61300000,0,Mass,,,,,,,
2MASS J0249-0557 c,2MASS J0249-0557 A,1,Imaging,,,,,1950.0000000000,200.0000000000,-200.0000000000,0,,,,,3686.80952120,413.17692910,-317.82840700,0,Mass,,,,,66.06130000,0.45430000,-0.44820000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,Imaging,,,,,572.0000000000,7.0000000000,-7.0000000000,0,,,,,5720.91132600,317.82840700,-317.82840700,0,Mass,,,,,117.43500000,2.32000000,-2.23300000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,,,,,15.0000000000,,,0,,,,,2383.60000000,794.50000000,-794.50000000,0,Mass,,,,,,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,Imaging,,,,,266.0000000000,8.0000000000,-8.0000000000,0,,,,,8899.19539600,3178.28407000,-2224.79884900,0,Mass,,,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,Imaging,,,,,587.0000000000,2.0000000000,-2.0000000000,0,,,,,6356.56814000,317.82840700,-317.82840700,0,Mass,,,,,100.86200000,0.60300000,-0.59600000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,,,,,55.0000000000,,,0,,,,,1589.15000000,635.66000000,-635.66000000,0,Mass,,,,,64.30800000,0.65690000,-0.64400000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,Eclipse Timing Variations,406.00000000000,4.00000000000,-4.00000000000,0,,,,,,,,,591.16083702,15.89142035,-15.89142035,0,Msini,0.330000,0.050000,-0.050000,0,396.33200000,6.38850000,-6.38850000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,Imaging,,,,,7493.0000000000,11.0000000000,-11.0000000000,0,,,,,3813.94088400,317.82840700,-317.82840700,0,Mass,,,,,34.11540000,0.08110000,-0.08070000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,,,,,230.0000000000,20.0000000000,-20.0000000000,0,,,,,3972.87500000,476.74500000,-476.74500000,0,Mass,,,,,69.57370000,0.15920000,-0.15850000
30 Ari B b,30 Ari B,1,Radial Velocity,335.10001000000,2.50000000000,-2.50000000000,0,0.9900000000,0.0200000000,-0.0200000000,0,,,,,4392.41060000,572.09400000,-572.09400000,0,Msini,0.290000,0.090000,-0.090000,0,44.65700000,0.10390000,-0.10340000
4 UMa b,4 UMa,1,Radial Velocity,270.27000000000,0.24000000000,-0.09000000000,0,0.8770000000,0.0010000000,0.0000000000,0,,,,,2511.48007211,63.24785299,-120.13913785,0,Msini,0.453000,0.021000,-0.036000,0,73.46030000,1.18605000,-1.18605000
47 UMa b,47 UMa,1,Radial Velocity,1078.00000000000,2.00000000000,-2.00000000000,0,2.1000000000,0.0200000000,-0.0200000000,0,,,,,804.08000000,22.25000000,-19.07000000,0,Msini,0.032000,0.014000,-0.014000,0,13.79670000,0.02890000,-0.02890000
47 UMa c,47 UMa,1,Radial Velocity,2391.00000000000,100.00000000000,-87.00000000000,0,3.6000000000,0.1000000000,-0.1000000000,0,,,,,171.62100000,20.97600000,-23.20100000,0,Msini,0.098000,0.047000,-0.096000,0,13.79670000,0.02890000,-0.02890000
47 UMa d,47 UMa,1,Radial Velocity,14002.00000000000,4018.00000000000,-5095.00000000000,0,11.6000000000,2.1000000000,-2.9000000000,0,,,,,521.22000000,92.17000000,-152.55000000,0,Msini,0.160000,0.090000,-0.160000,0,13.79670000,0.02890000,-0.02890000
51 Eri b,51 Eri,1,Imaging,,,,,13.2000000000,0.2000000000,-0.2000000000,0,,,,,635.66000000,,,0,Mass,,,,,29.75750000,0.12130000,-0.12030000
51 Peg b,51 Peg,1,Radial Velocity,4.23078500000,0.00003600000,-0.00003600000,0,0.0527000000,0.0030000000,-0.0030000000,0,,,,,150.00900000,12.39500000,-12.39500000,0,Msini,0.013000,0.012000,-0.012000,0,15.46140000,0.02970000,-0.02970000
55 Cnc b,55 Cnc,1,Radial Velocity,14.65160000000,0.00010000000,-0.00010000000,0,0.1134000000,0.0006000000,-0.0006000000,0,,,,,255.40000000,2.90000000,-2.90000000,0,Msini,0.000000,0.010000,-0.010000,0,12.58550000,0.01240000,-0.01230000
55 Cnc c,55 Cnc,1,Radial Velocity,44.39890000000,0.00420000000,-0.00430000000,0,0.2373000000,0.0013000000,-0.0013000000,0,,,,,51.20000000,1.30000000,-1.30000000,0,Msini,0.030000,0.020000,-0.020000,0,12.58550000,0.01240000,-0.01230000
55 Cnc d,55 Cnc,1,Radial Velocity,5574.20000000000,93.80000000000,-88.60000000000,0,5.9570000000,0.0740000000,-0.0710000000,0,,,,,991.60000000,30.70000000,-33.10000000,0,Msini,0.130000,0.020000,-0.020000,0,12.58550000,0.01240000,-0.01230000
55 Cnc e,55 Cnc,1,Radial Velocity,0.73654740000,0.00000130000,-0.00000140000,0,0.0154400000,0.0000500000,-0.0000500000,0,1.87500000,0.02900000,-0.02900000,0,7.99000000,0.32000000,-0.33000000,0,Mass,0.050000,0.030000,-0.030000,0,12.58550000,0.01240000,-0.01230000
55 Cnc f,55 Cnc,1,Radial Velocity,259.88000000000,0.29000000000,-0.29000000000,0,0.7708000000,0.0043000000,-0.0044000000,0,,,,,47.80000000,2.40000000,-2.40000000,0,Msini,0.080000,0.050000,-0.040000,0,12.58550000,0.01240000,-0.01230000
6 Lyn b,6 Lyn,1,Radial Velocity,919.86000000000,1.92000000000,-3.71000000000,0,2.0280000000,0.0030000000,-0.0050000000,0,,,,,597.83523357,12.07747947,-28.28672822,0,Msini,0.042000,0.024000,-0.032000,0,54.65990000,0.27340000,-0.27340000
61 Vir b,61 Vir,1,Radial Velocity,4.21500000000,0.00060000000,-0.00060000000,0,0.0502010000,0.0000050000,-0.0000050000,0,,,,,5.10000000,0.50000000,-0.50000000,0,Msini,0.120000,0.110000,-0.110000,0,8.50332000,0.01737000,-0.01730000
61 Vir c,61 Vir,1,Radial Velocity,38.02100000000,0.03400000000,-0.03400000000,0,0.2175000000,0.0001000000,-0.0001000000,0,,,,,18.20000000,1.10000000,-1.10000000,0,Msini,0.140000,0.060000,-0.060000,0,8.50332000,0.01737000,-0.01730000
61 Vir d,61 Vir,1,Radial Velocity,123.01000000000,0.55000000000,-0.55000000000,0,0.4760000000,0.0010000000,-0.0010000000,0,,,,,22.90000000,2.60000000,-2.60000000,0,Msini,0.350000,0.090000,-0.090000,0,8.50332000,0.01737000,-0.01730000
7 CMa b,7 CMa,1,Radial Velocity,735.10000000000,14.80000000000,-1.00000000000,0,1.7580000000,0.0240000000,-0.0010000000,0,,,,,587.98550000,19.06980000,-19.06980000,0,Msin(i)/sin(i),0.060000,0.030000,-0.030000,0,19.81010000,0.16480000,-0.16480000
7 CMa c,7 CMa,1,Radial Velocity,996.00000000000,1.50000000000,-52.40000000000,0,2.1530000000,0.0030000000,-0.0800000000,0,,,,,276.51210000,19.06980000,-19.06980000,0,Msin(i)/sin(i),0.080000,0.050000,-0.040000,0,19.81010000,0.16480000,-0.16480000
70 Vir b,70 Vir,1,Radial Velocity,116.68800000000,0.00540000000,-0.00540000000,0,0.4810000000,0.0220000000,-0.0220000000,0,,,,,2357.02728000,18.11631000,-18.11631000,0,Msini,0.398800,0.001900,-0.001900,0,17.90110000,0.05600000,-0.05570000
75 Cet b,75 Cet,1,Radial Velocity,696.62000000000,1.33000000000,-1.69000000000,0,1.9120000000,0.0020000000,-0.0030000000,0,,,,,787.89662095,23.51930212,-28.60455663,0,Msini,0.093000,0.026000,-0.042000,0,82.96130000,0.72365000,-0.72365000
75 Cet c,75 Cet,1,Radial Velocity,2051.62000000000,45.98000000000,-40.47000000000,0,3.9290000000,0.0580000000,-0.0520000000,0,,,,,289.85950718,27.96889982,-45.44946220,0,Msini,0.023000,0.191000,-0.003000,0,82.96130000,0.72365000,-0.72365000
8 UMi b,8 UMi,1,Radial Velocity,93.40000000000,4.50000000000,-4.50000000000,0,0.4900000000,0.0200000000,-0.0200000000,0,,,,,416.35730000,50.85280000,-50.85280000,0,Msini,0.060000,0.090000,-0.090000,0,162.55200000,0.65100000,-0.64600000
81 Cet b,81 Cet,1,Radial Velocity,1005.57000000000,1.84000000000,-1.94000000000,0,2.1040000000,0.0030000000,-0.0030000000,0,,,,,1051.05854195,24.79061575,-21.29450327,0,Msini,0.037000,0.015000,-0.025000,0,101.26000000,1.22200000,-1.22200000
91 Aqr b,91 Aqr,1,Radial Velocity,181.40000000000,0.10000000000,-0.10000000000,0,0.7000000000,,,0,,,,,1017.00000000,,,0,Msini,0.027000,0.026000,-0.026000,0,44.03040000,0.51325000,-0.51325000
AB Aur b,AB Aur,1,Imaging,,,,,93.9000000000,49.3000000000,-49.3000000000,0,,,,,2860.45566300,,,0,Mass,0.400000,0.200000,-0.210000,0,162.12700000,1.52600000,-1.49800000
AB Pic b,AB Pic,1,Imaging,,,,,260.0000000000,,,0,,,,,4290.50000000,158.90000000,-158.90000000,0,Mass,,,,,50.04750000,0.07350000,-0.07330000
AF Lep b,AF Lep,1,Imaging,8030.00000000000,1800.00000000000,-1800.00000000000,0,8.4000000000,1.1000000000,-1.3000000000,0,,,,,1017.05090240,222.47988490,-190.69704420,0,Mass,0.240000,0.270000,-0.150000,0,26.85640000,0.01890000,-0.01880000
AT2021ueyL b,AT2021ueyL,1,Microlensing,4168.69000000000,2910.76000000000,-1713.98000000000,0,4.0100000000,1.6800000000,-1.3400000000,0,,,,,425.89006538,143.02278315,-158.91420350,0,Mass,,,,,1040.00000000,740.00000000,-440.00000000
AU Mic b,AU Mic,1,Transit,8.46308000000,0.00006000000,-0.00006000000,0,0.0649000000,0.0012000000,-0.0012000000,0,3.95677019,0.14571675,-0.14571675,0,,,,,,0.005770,0.001010,-0.001010,0,9.72210000,0.00462500,-0.00462500
AU Mic c,AU Mic,1,Transit,18.85969000000,0.00008000000,-0.00008000000,0,0.1108000000,0.0020000000,-0.0020000000,0,2.52202066,0.24659758,-0.24659758,0,,,,,,0.003380,0.001640,-0.001640,0,9.72210000,0.00462500,-0.00462500
AU Mic d,AU Mic,1,Transit Timing Variations,12.73596000000,0.00793000000,-0.00793000000,0,,,,,,,,,1.05300000,0.51100000,-0.51100000,0,Mass,0.003050,0.001040,-0.001040,0,9.72210000,0.00462500,-0.00462500
BD+03 2562 b,BD+03 2562,1,Radial Velocity,481.90000000000,2.70000000000,-2.80000000000,0,1.3000000000,0.1000000000,-0.1000000000,0,,,,,2034.11200000,413.17900000,-413.17900000,0,Msini,0.200000,0.120000,-0.080000,0,1070.63000000,63.87500000,-63.87500000
BD+05 4868 A b,BD+05 4868 A,1,Transit,1.27186900000,0.00000100000,-0.00000100000,0,0.0208000000,0.0003000000,-0.0003000000,0,,,,,6.20000000,,,1,Mass,,,,,43.56870000,0.09750000,-0.09710000
BD+14 4559 b,BD+14 4559,1,Radial Velocity,268.94000000000,0.99000000000,-0.99000000000,0,0.7800000000,0.0500000000,-0.0500000000,0,,,,,330.54320000,149.38010000,-149.38010000,0,Msini,0.290000,0.030000,-0.030000,0,49.35200000,0.08460000,-0.08440000
BD+15 2375 b,BD+15 2375,1,Radial Velocity,153.22000000000,0.44000000000,-0.44000000000,0,0.5760000000,0.0270000000,-0.0270000000,0,,,,,337.21763000,85.81410000,-85.81410000,0,Msini,0.001000,0.250000,-0.001000,0,768.04500000,45.03800000,-45.03800000
BD+15 2940 b,BD+15 2940,1,Radial Velocity,137.48000000000,0.34000000000,-0.34000000000,0,0.5390000000,,,0,,,,,352.78000000,,,0,Msini,0.260000,0.100000,-0.100000,0,426.42000000,6.44000000,-6.44000000
BD+20 2457 b,BD+20 2457,1,Radial Velocity,379.63000000000,2.01000000000,-2.01000000000,0,1.4500000000,,,0,,,,,6807.63000000,,,0,Msini,0.150000,0.030000,-0.030000,0,1539.71000000,189.92500000,-189.92500000
BD+20 2457 c,BD+20 2457,1,Radial Velocity,621.99000000000,10.20000000000,-10.20000000000,0,2.0100000000,,,0,,,,,3963.17000000,,,0,Msini,0.180000,0.060000,-0.060000,0,1539.71000000,189.92500000,-189.92500000
BD+20 274 b,BD+20 274,1,Radial Velocity,578.20000000000,5.40000000000,-5.40000000000,0,1.3000000000,,,0,,,,,1334.88600000,,,0,Msini,0.210000,0.060000,-0.060000,0,1322.51000000,80.53500000,-80.53500000
BD+20 594 b,BD+20 594,1,Transit,41.68550000000,0.00300000000,-0.00300000000,0,,,,,2.57807000,0.11209000,-0.11209000,0,22.24810000,9.53490000,-9.53490000,0,Mass,0.000000,,,0,179.46100000,1.25700000,-1.24000000
BD+45 564 b,BD+45 564,1,Radial Velocity,307.88000000000,1.47000000000,-1.47000000000,0,0.8300000000,0.0400000000,-0.0400000000,0,,,,,432.24663352,38.13940884,-38.13940884,0,Msini,0.120000,0.060000,-0.060000,0,53.62200000,0.19190000,-0.19050000
BD+48 738 b,BD+48 738,1,Radial Velocity,392.60000000000,5.50000000000,-5.50000000000,0,1.0000000000,,,0,,,,,289.22530000,,,0,Msini,0.200000,0.100000,-0.100000,0,871.49300000,43.84900000,-43.84900000
BD+48 740 b,BD+48 740,1,Radial Velocity,733.00000000000,5.00000000000,-8.00000000000,0,1.7000000000,0.1000000000,-0.1000000000,0,,,,,540.31100000,222.48100000,-222.48100000,0,Msini,0.760000,0.050000,-0.090000,0,666.58900000,21.53350000,-21.53350000
BD+49 828 b,BD+49 828,1,Radial Velocity,2590.00000000000,300.00000000000,-180.00000000000,0,4.2000000000,0.3200000000,-0.2000000000,0,,,,,508.50000000,127.10000000,-63.60000000,0,Msini,0.350000,0.240000,-0.100000,0,442.04200000,7.65400000,-7.65400000
BD+55 362 b,BD+55 362,1,Radial Velocity,265.59000000000,1.04000000000,-1.04000000000,0,0.7800000000,0.0500000000,-0.0500000000,0,,,,,228.83645304,25.42627256,-25.42627256,0,Msini,0.270000,0.060000,-0.060000,0,52.56970000,0.09740000,-0.09710000
BD+60 1417 b,BD+60 1417,1,Imaging,,,,,1662.0000000000,,,0,14.68376472,0.67253884,-0.67253884,0,4767.42610500,1589.14203500,-1589.14203500,0,Mass,,,,,44.95430000,0.05930000,-0.05920000
BD+63 1405 b,BD+63 1405,1,Radial Velocity,1198.48000000000,60.79000000000,-60.79000000000,0,2.0600000000,0.1400000000,-0.1400000000,0,,,,,1258.60049172,98.52680617,-98.52680617,0,Msini,0.880000,0.020000,-0.020000,0,38.04730000,0.03290000,-0.03290000
BD-06 1339 b,BD-06 1339,1,Radial Velocity,3.87280000000,0.00040000000,-0.00040000000,0,0.0428000000,0.0007000000,-0.0007000000,0,,,,,8.50000000,1.30000000,-1.30000000,0,Msini,0.000000,,,0,20.26950000,0.02200000,-0.02180000
BD-06 1339 c,BD-06 1339,1,Radial Velocity,125.94000000000,0.44000000000,-0.44000000000,0,0.4350000000,0.0070000000,-0.0070000000,0,,,,,53.00000000,8.00000000,-8.00000000,0,Msini,0.310000,0.110000,-0.110000,0,20.26950000,0.02200000,-0.02180000
BD-08 2823 b,BD-08 2823,1,Radial Velocity,5.60000000000,0.02000000000,-0.02000000000,0,0.0600000000,0.0000000000,0.0000000000,0,,,,,12.71320000,3.17830000,-3.17830000,0,Msini,0.150000,0.150000,-0.150000,0,41.33420000,0.06850000,-0.06820000
BD-08 2823 c,BD-08 2823,1,Radial Velocity,237.60000000000,1.50000000000,-1.50000000000,0,0.6800000000,0.0200000000,-0.0200000000,0,,,,,104.00000000,10.00000000,-10.00000000,0,Msini,0.190000,0.090000,-0.090000,0,41.33420000,0.06850000,-0.06820000
BD-10 3166 b,BD-10 3166,1,Radial Velocity,3.48777000000,0.00011000000,-0.00011000000,0,0.0400000000,0.0000000000,0.0000000000,0,,,,,187.51970000,22.24810000,-22.24810000,0,Msini,0.020000,0.020000,-0.020000,0,84.40690000,0.35370000,-0.35080000
BD-11 4672 b,BD-11 4672,1,Radial Velocity,1634.00000000000,13.00000000000,-14.00000000000,0,2.3600000000,0.0400000000,-0.0400000000,0,,,,,206.58950000,15.89150000,-19.06980000,0,Msini,0.050000,0.050000,-0.030000,0,27.16650000,0.03460000,-0.03460000
BD-11 4672 c,BD-11 4672,1,Radial Velocity,74.20000000000,0.06000000000,-0.08000000000,0,0.3000000000,0.0100000000,-0.0100000000,0,,,,,15.37000000,2.97000000,-2.81000000,0,Msini,0.400000,0.130000,-0.150000,0,27.16650000,0.03460000,-0.03460000
BD-13 2130 b,BD-13 2130,1,Radial Velocity,714.29999000000,5.30000000000,-5.30000000000,0,1.6600000000,0.1200000000,-0.1200000000,0,,,,,3108.37740000,1449.30480000,-1449.30480000,0,Msini,0.210000,0.070000,-0.070000,0,925.21400000,41.21100000,-41.21100000
BD-14 3065 b,BD-14 3065 A,1,Transit,4.28897310000,0.00000520000,-0.00000520000,0,0.0656000000,0.0026000000,-0.0026000000,0,21.59000000,1.05000000,-1.05000000,0,3932.00000000,290.00000000,-280.00000000,0,Mass,0.066000,0.009800,-0.011000,0,589.42300000,16.59900000,-15.72900000
BD-17 63 b,BD-17 63,1,Radial Velocity,655.57000000000,0.58000000000,-0.58000000000,0,,,,,,,,,1639.99458012,63.56568140,-63.56568140,0,Mass,0.543900,0.005200,-0.005200,0,34.46030000,0.09290000,-0.09240000
BD-210397 b,BD-210397,1,Radial Velocity,1891.00000000000,56.00000000000,-48.00000000000,0,2.6300000000,0.0600000000,-0.0500000000,0,,,,,214.00000000,31.00000000,-32.00000000,0,Msini,0.100000,0.100000,-0.100000,0,23.73240000,0.02280000,-0.02270000
BD-210397 c,BD-210397,1,Radial Velocity,6240.00000000000,151.00000000000,-156.00000000000,0,5.9000000000,0.1000000000,-0.1000000000,0,,,,,1525.57635360,190.69704420,-190.69704420,0,Mass,0.430000,0.050000,-0.050000,0,23.73240000,0.02280000,-0.02270000
Barnard b,Barnard's star,1,Radial Velocity,3.15420000000,0.00040000000,-0.00040000000,0,0.0229000000,0.0003000000,-0.0003000000,0,,,,,0.29900000,0.02600000,-0.02600000,0,Msini,0.030000,0.030000,-0.020000,0,1.82655000,0.00097500,-0.00097500
Barnard c,Barnard's star,1,Radial Velocity,4.12440000000,0.00060000000,-0.00060000000,0,0.0274000000,0.0004000000,-0.0004000000,0,,,,,0.33500000,0.03000000,-0.03000000,0,Msini,0.080000,0.060000,-0.050000,0,1.82655000,0.00097500,-0.00097500
Barnard d,Barnard's star,1,Radial Velocity,2.34020000000,0.00030000000,-0.00030000000,0,0.0188000000,0.0003000000,-0.0003000000,0,,,,,0.26300000,0.02400000,-0.02400000,0,Msini,0.040000,0.050000,-0.030000,0,1.82655000,0.00097500,-0.00097500
Barnard e,Barnard's star,1,Radial Velocity,6.73920000000,0.00300000000,-0.00300000000,0,0.0381000000,0.0005000000,-0.0005000000,0,,,,,0.19300000,0.03300000,-0.03300000,0,Msini,0.040000,0.030000,-0.040000,0,1.82655000,0.00097500,-0.00097500
CD Cet b,CD Cet,1,Radial Velocity,2.29070000000,0.00012000000,-0.00012000000,0,0.0185000000,0.0013000000,-0.0013000000,0,,,,,3.95000000,0.42000000,-0.43000000,0,Msini,,,,,8.60715000,0.00658000,-0.00658000
