# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jun  7 09:08:16 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr < 1
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and st_radstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_jmagerr1:    J (2MASS) Magnitude Upper Unc
# COLUMN sy_jmagerr2:    J (2MASS) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
TOI-2260 b,TOI-2260,1,0.35247280000,0.00000470000,-0.00000470000,0,0.0097000000,0.0001000000,-0.0001000000,0,1.62000000,0.13000000,-0.13000000,0,,,,,,,,,,,,,2609.00,86.00,-86.00,0,G V,5534.00,100.00,-100.00,0,0.940000,0.050000,-0.050000,0,0.990000,0.040000,-0.040000,0,0.2200,0.0600,-0.0600,0,4.620000,0.100000,-0.100000,0,101.25100000,0.28400000,-0.28300000,10.4740000,0.0060000,-0.0060000,9.1030000,0.0260000,-0.0260000,8.6840000,0.0160000,-0.0160000,10.2488000,0.0008160,-0.0008160
EPIC 206042996 c,EPIC 206042996,1,0.35488400000,0.00006300000,-0.00006300000,0,,,,,1.20000000,0.20000000,-0.10000000,0,,,,,,,,,,,,,,,,,,4114.00,99.00,-99.00,0,0.500000,0.040000,-0.040000,0,,,,,0.0060,0.1200,-0.1200,0,4.800000,0.050000,-0.050000,0,451.76900000,13.97600000,-13.17600000,16.5900000,1.1330000,-1.1330000,13.9640000,0.0250000,-0.0250000,13.0710000,0.0330000,-0.0330000,15.9752000,0.0009690,-0.0009690
Kepler-78 b,Kepler-78,1,0.35500745000,0.00000008000,-0.00000008000,0,0.0090100000,0.0001200000,-0.0001900000,0,1.20100000,0.02800000,-0.02800000,0,1.68000000,0.27000000,-0.27000000,0,0.000000,,,0,4070.0000,240.0000,-240.0000,0,2223.00,32.00,-32.00,0,,5058.00,50.00,-50.00,0,0.747500,0.007700,-0.007800,0,0.779000,0.032000,-0.046000,0,-0.1800,0.0800,-0.0800,0,,,,,124.37600000,0.33000000,-0.32900000,11.7170000,0.0340000,-0.0340000,10.1840000,0.0250000,-0.0250000,9.5860000,0.0150000,-0.0150000,11.5287000,0.0003400,-0.0003400
K2-157 b,K2-157,1,0.36525750000,0.00000780000,-0.00000880000,0,0.0096200000,0.0001000000,-0.0001000000,0,0.93500000,0.09000000,-0.09000000,0,1.14000000,0.41000000,-0.42000000,0,,,,,6660.0000,200.0000,-200.0000,0,2432.00,42.00,-42.00,0,G9 V,5334.00,64.00,-64.00,0,0.860000,0.019000,-0.019000,0,0.890000,0.029000,-0.029000,0,0.0200,0.0400,-0.0400,0,4.450000,0.040000,-0.040000,0,298.37300000,4.59000000,-4.45500000,12.9420000,0.0690000,-0.0690000,11.3980000,0.0220000,-0.0220000,10.9800000,0.0230000,-0.0230000,12.6419000,0.0001770,-0.0001770
K2-131 b,K2-131,1,0.36930380000,0.00000910000,-0.00000910000,0,0.0093600000,0.0001400000,-0.0001400000,0,1.69000000,0.08500000,-0.05800000,0,7.90000000,1.30000000,-1.30000000,0,0.000000,,,0,4070.0000,280.0000,-280.0000,0,2223.00,37.00,-37.00,0,,5120.00,71.00,-71.00,0,0.759500,0.008700,-0.008900,0,0.803000,0.034000,-0.034000,0,-0.0400,0.0700,-0.0700,0,,,,,152.50900000,1.07900000,-1.06300000,12.1290000,0.0920000,-0.0920000,10.5700000,0.0260000,-0.0260000,10.0510000,0.0260000,-0.0260000,11.8999000,0.0006020,-0.0006020
TOI-2445 b,TOI-2445,1,0.37112810000,0.00000050000,-0.00000050000,0,0.0064000000,0.0001000000,-0.0001000000,0,1.25000000,0.08000000,-0.08000000,0,,,,,,,,,,,,,1060.00,54.00,-54.00,0,,3333.00,157.00,-157.00,0,0.270000,0.010000,-0.010000,0,0.250000,0.010000,-0.010000,0,,,,,4.970000,0.040000,-0.040000,0,48.58200000,0.24870000,-0.24620000,15.6920000,0.0320000,-0.0320000,11.5550000,0.0230000,-0.0230000,10.7790000,0.0190000,-0.0190000,14.3977000,0.0006440,-0.0006440
K2-22 b,K2-22,1,0.38107300000,0.00002400000,-0.00002400000,0,,,,,2.30000000,0.10000000,-0.10000000,0,,,,,,,,,,,,,,,,,,3879.00,90.00,-90.00,0,0.580000,0.030000,-0.030000,0,,,,,0.0320,0.1200,-0.1200,0,4.700000,0.040000,-0.040000,0,243.83600000,2.79750000,-2.79750000,15.5650000,0.0460000,-0.0460000,12.7260000,0.0240000,-0.0240000,11.9240000,0.0260000,-0.0260000,14.9537000,0.0007770,-0.0007770
TOI-4527.01,TOI-4527,1,0.39944450000,,,0,0.0083323530,,,0,0.90866170,0.95341300,-0.95341300,0,,,,,,,,,571.5072,,,0,1362.93,,,0,,3702.00,,,0,0.485948,,,0,0.483901,,,0,,,,,4.750000,,,0,18.10370000,0.01740000,-0.01740000,10.9170000,0.0150000,-0.0150000,7.8390000,0.0210000,-0.0210000,7.0200000,0.0180000,-0.0180000,10.1927000,0.0008480,-0.0008480
TOI-1442 b,TOI-1442,1,0.40906770000,0.00000030000,-0.00000030000,0,0.0071000000,0.0002000000,-0.0002000000,0,1.17000000,0.06000000,-0.06000000,0,,,,,,,,,,,,,1072.00,54.00,-54.00,0,,3330.00,160.00,-160.00,0,0.310000,0.010000,-0.010000,0,0.290000,0.020000,-0.020000,0,,,,,4.920000,0.040000,-0.040000,0,41.16590000,0.06180000,-0.06150000,15.3900000,0.2000000,-0.2000000,10.9250000,0.0190000,-0.0190000,10.0890000,0.0200000,-0.0200000,13.7652000,0.0004850,-0.0004850
KOI-4777.01,KOI-4777,1,0.41200000000,0.00000100000,-0.00000100000,0,0.0080000000,0.0003000000,-0.0003000000,0,0.51000000,0.03000000,-0.03000000,0,99.20000000,,,1,0.000000,,,0,320.0000,20.0000,-20.0000,0,1180.00,20.00,-20.00,0,,3515.00,69.00,-69.00,0,0.400000,0.010000,-0.010000,0,0.410000,0.020000,-0.020000,0,0.1000,0.1000,-0.1000,0,4.770000,0.040000,-0.040000,0,172.24500000,1.24300000,-1.22600000,16.4130000,0.0690000,-0.0690000,13.2210000,0.0210000,-0.0210000,12.4490000,0.0180000,-0.0180000,15.8525000,0.0006100,-0.0006100
TOI-1798.02,TOI-1798,1,0.43781182200,0.00000053000,-0.00000060500,0,0.0107890000,0.0004270000,-0.0004640000,0,1.46400000,0.18500000,-0.11300000,0,,,,,,,,,3345.4400,559.7200,-478.7200,0,,,,,,5165.00,104.00,-104.00,0,0.780000,0.040000,-0.040000,0,0.870000,0.110000,-0.110000,0,,,,,,,,,113.18100000,0.30900000,-0.30800000,11.3610000,0.0230000,-0.0230000,9.7980000,0.0230000,-0.0230000,9.2370010,0.0140000,-0.0140000,11.0670000,0.0005860,-0.0005860
Kepler-42 c,Kepler-42,1,0.45328509000,0.00000097000,-0.00000097000,0,0.0060000000,,,0,0.73000000,0.20000000,-0.20000000,0,,,,,,,,,,,,,720.00,73.00,-73.00,0,M,3068.00,174.00,-174.00,0,0.170000,0.040000,-0.040000,0,0.130000,0.050000,-0.050000,0,-0.3300,0.1200,-0.1200,0,,,,,40.05950000,0.06500000,-0.06470000,16.7000000,0.2000000,-0.2000000,12.1770000,0.0210000,-0.0210000,11.4650000,0.0180000,-0.0180000,14.9931000,0.0005060,-0.0005060
LHS 3844 b,LHS 3844,1,0.46292913000,0.00000190000,-0.00000190000,0,0.0062200000,0.0001700000,-0.0001700000,0,1.30300000,0.02200000,-0.02200000,0,,,,,,,,,70.1000,0.5000,-0.5000,0,805.00,20.00,-20.00,0,M5,3036.00,77.00,-77.00,0,0.189000,0.006000,-0.006000,0,0.151000,0.014000,-0.014000,0,,,,,5.060000,0.010000,-0.010000,0,14.88460000,0.01130000,-0.01130000,15.2400000,0.0320000,-0.0320000,10.0460000,0.0230000,-0.0230000,9.1450010,0.0230000,-0.0230000,13.3925000,0.0007380,-0.0007380
K2-183 b,K2-183,1,0.46928500000,0.00006400000,-0.00006400000,0,,,,,1.10000000,0.10000000,-0.08000000,0,,,,,,,,,,,,,,,,,,5482.00,50.00,-50.00,0,0.870000,0.040000,-0.040000,0,,,,,0.0900,0.0800,-0.0800,0,4.600000,0.100000,-0.100000,0,329.04100000,4.29300000,-4.18500000,12.8670000,0.0800000,-0.0800000,11.4850000,0.0230000,-0.0230000,11.0210000,0.0200000,-0.0200000,12.6702000,0.0001430,-0.0001430
TOI-1444 b,TOI-1444,1,0.47027430000,0.00000110000,-0.00000110000,0,0.0116000000,0.0002000000,-0.0002000000,0,1.41792246,0.04673360,-0.04107268,0,3.58000000,0.76000000,-0.75000000,0,0.000000,,,0,,,,,2130.02,33.47,-33.17,0,,5460.00,66.00,-66.00,0,0.910500,0.015400,-0.014600,0,0.951300,0.029900,-0.032100,0,0.1460,0.0570,-0.0590,0,4.496000,0.021000,-0.024000,0,125.46300000,0.33700000,-0.33500000,10.9360000,0.0090000,-0.0090000,9.4650000,0.0240000,-0.0240000,9.0610000,0.0210000,-0.0210000,10.6417000,0.0002610,-0.0002610
TOI-431 b,TOI-431,1,0.49004700000,0.00001000000,-0.00000700000,0,0.0113000000,0.0002000000,-0.0003000000,0,1.28000000,0.04000000,-0.04000000,0,3.07000000,0.35000000,-0.35000000,0,0.000000,,,0,,,,,1862.00,42.00,-42.00,0,,4850.00,75.00,-75.00,0,0.731000,0.022000,-0.022000,0,0.780000,0.070000,-0.070000,0,0.2000,0.0500,-0.0500,0,4.600000,0.060000,-0.060000,0,32.56860000,0.03120000,-0.03110000,9.1200000,0.0300000,-0.0300000,7.3050000,0.0260000,-0.0260000,6.7230000,0.0210000,-0.0210000,8.7917100,0.0005430,-0.0005430
K2-223 b,K2-223,1,0.50557000000,0.00008800000,-0.00008800000,0,,,,,0.89000000,0.10000000,-0.09000000,0,,,,,,,,,,,,,,,,,,5859.00,50.00,-50.00,0,1.000000,0.060000,-0.060000,0,,,,,0.1900,0.0800,-0.0800,0,4.500000,0.100000,-0.100000,0,198.60400000,2.56700000,-2.50300000,11.4430000,0.0570000,-0.0570000,10.1770000,0.0240000,-0.0240000,9.8350000,0.0240000,-0.0240000,11.2736000,0.0007920,-0.0007920
GJ 1252 b,GJ 1252,1,0.51823310000,0.00000840000,-0.00000840000,0,,,,,1.19300000,0.07400000,-0.07400000,0,1.32000000,0.28000000,-0.28000000,0,0.000000,,,0,,,,,,,,,M3,3458.00,140.00,-133.00,0,0.391000,0.020000,-0.020000,0,0.381000,0.019000,-0.019000,0,0.1000,0.1000,-0.1000,0,,,,,20.37300000,0.01920000,-0.01920000,12.6800000,0.2000000,-0.2000000,8.6970000,0.0190000,-0.0190000,7.9150000,0.0230000,-0.0230000,11.2364000,0.0008060,-0.0008060
