# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 23 04:26:32 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr < 1
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and sy_kmagstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN sy_tmagerr2:    TESS Magnitude Lower Unc
#
pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2
TOI-2445 b,TOI-2445,1,0.37112810,0.00000050,-0.00000050,0,0.006400,0.000100,-0.000100,0,1.250,0.080,-0.080,0,,,,,,,,,,,,,1060,54,-54,0,,3333.00,157.00,-157.00,0,0.27,0.01,-0.01,0,0.25,0.01,-0.01,0,,,,,4.97,0.04,-0.04,0,48.5820000,0.2487000,-0.2462000,15.6920000,0.0320000,-0.0320000,10.7790000,0.0190000,-0.0190000,13.1292000,0.0075607,-0.0075607
K2-22 b,K2-22,1,0.38107300,0.00002400,-0.00002400,0,,,,,2.300,0.100,-0.100,0,,,,,,,,,,,,,,,,,,3879.00,90.00,-90.00,0,0.58,0.03,-0.03,0,,,,,0.032,0.120,-0.120,0,4.70,0.04,-0.04,0,243.8360000,2.7975000,-2.7975000,15.5650000,0.0460000,-0.0460000,11.9240000,0.0260000,-0.0260000,13.9558000,0.0129533,-0.0129533
TOI-4527.01,TOI-4527,1,0.39944450,,,0,0.008332,,,0,0.909,0.953,-0.953,0,,,,,,,,,571.51,,,0,1363,,,0,,3702.00,,,0,0.49,,,0,0.48,,,0,,,,,4.75,,,0,18.1037000,0.0174000,-0.0174000,10.9170000,0.0150000,-0.0150000,7.0200000,0.0180000,-0.0180000,9.1676400,0.0073455,-0.0073455
TOI-1442 b,TOI-1442,1,0.40906770,0.00000030,-0.00000030,0,0.007100,0.000200,-0.000200,0,1.170,0.060,-0.060,0,,,,,,,,,,,,,1072,54,-54,0,,3330.00,160.00,-160.00,0,0.31,0.01,-0.01,0,0.29,0.02,-0.02,0,,,,,4.92,0.04,-0.04,0,41.1659000,0.0618000,-0.0615000,15.3900000,0.2000000,-0.2000000,10.0890000,0.0200000,-0.0200000,12.4934000,0.0074773,-0.0074773
KOI-4777.01,KOI-4777,1,0.41200000,0.00000100,-0.00000100,0,0.008000,0.000300,-0.000300,0,0.510,0.030,-0.030,0,99.20000,,,1,0.000000,,,0,320.00,20.00,-20.00,0,1180,20,-20,0,,3515.00,69.00,-69.00,0,0.40,0.01,-0.01,0,0.41,0.02,-0.02,0,0.100,0.100,-0.100,0,4.77,0.04,-0.04,0,172.2450000,1.2430000,-1.2260000,16.4130000,0.0690000,-0.0690000,12.4490000,0.0180000,-0.0180000,14.7079000,0.0074496,-0.0074496
TOI-1798.02,TOI-1798,1,0.43781182,0.00000053,-0.00000061,0,0.010789,0.000427,-0.000464,0,1.464,0.185,-0.113,0,,,,,,,,,3345.44,559.72,-478.72,0,,,,,,5165.00,104.00,-104.00,0,0.78,0.04,-0.04,0,0.87,0.11,-0.11,0,,,,,,,,,113.1810000,0.3090000,-0.3080000,11.3610000,0.0230000,-0.0230000,9.2370010,0.0140000,-0.0140000,10.5191000,0.0061000,-0.0061000
TOI-561 b,TOI-561,1,0.44656880,0.00000070,-0.00000080,0,0.010600,0.000100,-0.000100,0,1.425,0.037,-0.037,0,2.00000,0.23000,-0.23000,0,0.000000,,,0,4745.00,269.00,-269.00,0,2310,33,-33,0,G9 V,5372.00,70.00,-70.00,0,0.84,0.01,-0.01,0,0.81,0.04,-0.04,0,-0.400,0.050,-0.050,0,4.50,0.12,-0.12,0,85.7990000,0.4988000,-0.4932000,10.2520000,0.0060000,-0.0060000,8.3940000,0.0190000,-0.0190000,9.5273000,0.0060000,-0.0060000
Kepler-42 c,Kepler-42,1,0.45328509,0.00000097,-0.00000097,0,0.006000,,,0,0.730,0.200,-0.200,0,,,,,,,,,,,,,720,73,-73,0,M,3068.00,174.00,-174.00,0,0.17,0.04,-0.04,0,0.13,0.05,-0.05,0,-0.330,0.120,-0.120,0,,,,,40.0595000,0.0650000,-0.0647000,16.7000000,0.2000000,-0.2000000,11.4650000,0.0180000,-0.0180000,13.7435000,0.0073649,-0.0073649
LHS 3844 b,LHS 3844,1,0.46292913,0.00000190,-0.00000190,0,0.006220,0.000170,-0.000170,0,1.303,0.022,-0.022,0,,,,,,,,,70.10,0.50,-0.50,0,805,20,-20,0,M5,3036.00,77.00,-77.00,0,0.19,0.01,-0.01,0,0.15,0.01,-0.01,0,,,,,5.06,0.01,-0.01,0,14.8846000,0.0113000,-0.0113000,15.2400000,0.0320000,-0.0320000,9.1450010,0.0230000,-0.0230000,11.9238000,0.0076985,-0.0076985
K2-183 b,K2-183,1,0.46928500,0.00006400,-0.00006400,0,,,,,1.100,0.100,-0.080,0,,,,,,,,,,,,,,,,,,5482.00,50.00,-50.00,0,0.87,0.04,-0.04,0,,,,,0.090,0.080,-0.080,0,4.60,0.10,-0.10,0,329.0410000,4.2930000,-4.1850000,12.8670000,0.0800000,-0.0800000,11.0210000,0.0200000,-0.0200000,12.1741000,0.0068000,-0.0068000
TOI-1444 b,TOI-1444,1,0.47027430,0.00000110,-0.00000110,0,0.011600,0.000200,-0.000200,0,1.418,0.047,-0.041,0,3.58000,0.76000,-0.75000,0,0.000000,,,0,,,,,2130,33,-33,0,,5460.00,66.00,-66.00,0,0.91,0.02,-0.01,0,0.95,0.03,-0.03,0,0.146,0.057,-0.059,0,4.50,0.02,-0.02,0,125.4630000,0.3370000,-0.3350000,10.9360000,0.0090000,-0.0090000,9.0610000,0.0210000,-0.0210000,10.1522000,0.0060000,-0.0060000
TOI-431 b,TOI-431,1,0.49004700,0.00001000,-0.00000700,0,0.011300,0.000200,-0.000300,0,1.280,0.040,-0.040,0,3.07000,0.35000,-0.35000,0,0.000000,,,0,,,,,1862,42,-42,0,,4850.00,75.00,-75.00,0,0.73,0.02,-0.02,0,0.78,0.07,-0.07,0,0.200,0.050,-0.050,0,4.60,0.06,-0.06,0,32.5686000,0.0312000,-0.0311000,9.1200000,0.0300000,-0.0300000,6.7230000,0.0210000,-0.0210000,8.1705000,0.0060000,-0.0060000
K2-223 b,K2-223,1,0.50557000,0.00008800,-0.00008800,0,,,,,0.890,0.100,-0.090,0,,,,,,,,,,,,,,,,,,5859.00,50.00,-50.00,0,1.00,0.06,-0.06,0,,,,,0.190,0.080,-0.080,0,4.50,0.10,-0.10,0,198.6040000,2.5670000,-2.5030000,11.4430000,0.0570000,-0.0570000,9.8350000,0.0240000,-0.0240000,10.8242000,0.0061000,-0.0061000
GJ 1252 b,GJ 1252,1,0.51823310,0.00000840,-0.00000840,0,,,,,1.193,0.074,-0.074,0,1.32000,0.28000,-0.28000,0,0.000000,,,0,,,,,,,,,M3,3458.00,140.00,-133.00,0,0.39,0.02,-0.02,0,0.38,0.02,-0.02,0,0.100,0.100,-0.100,0,,,,,20.3730000,0.0192000,-0.0192000,12.6800000,0.2000000,-0.2000000,7.9150000,0.0230000,-0.0230000,10.1165000,0.0073413,-0.0073413
Kepler-1932 b,Kepler-1932,1,0.52417702,,,0,,,,,1.515,,,0,,,,,,,,,,,,,,,,,,5278.00,73.00,-84.00,0,0.81,0.08,-0.03,0,0.91,0.03,-0.06,0,0.140,0.150,-0.150,0,4.58,0.01,-0.09,0,713.7330000,13.1780000,-12.7170000,15.2860000,0.0920000,-0.0920000,13.1490000,0.0320000,-0.0320000,14.4589000,0.0073000,-0.0073000
Kepler-990 c,Kepler-990,1,0.53835431,0.00000067,-0.00000067,0,,,,,1.530,0.350,-0.190,0,,,,,,,,,,,,,,,,,,5948.00,211.07,-213.60,0,1.08,0.27,-0.14,0,1.05,0.12,-0.09,0,0.010,0.134,-0.173,0,4.39,0.10,-0.16,0,802.1630000,12.3040000,-12.3040000,14.7160000,0.1500000,-0.1500000,12.9280000,,,14.0030000,0.0082000,-0.0082000
Kepler-1566 b,Kepler-1566,1,0.53991524,0.00000135,-0.00000135,0,,,,,0.790,0.080,-0.050,0,,,,,,,,,,,,,,,,,,5254.00,97.81,-89.64,0,0.81,0.06,-0.05,0,0.84,0.04,-0.05,0,-0.070,0.144,-0.160,0,4.56,0.04,-0.07,0,466.5860000,3.6975000,-3.6975000,14.5640000,0.0690000,-0.0690000,12.4350000,0.0280000,-0.0280000,13.7552000,0.0067000,-0.0067000
TOI-500 b,TOI-500,1,0.54817700,0.00001900,-0.00001900,0,0.011890,0.000410,-0.000400,0,1.166,0.061,-0.058,0,1.42000,0.18000,-0.18000,0,0.063000,0.073000,-0.044000,0,1138.00,123.00,-112.00,0,1617,41,-41,0,K6 V,4440.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.74,0.02,-0.02,0,0.120,0.080,-0.080,0,4.62,0.02,-0.02,0,47.3924000,0.0473000,-0.0473000,10.5400000,0.0300000,-0.0300000,7.7150000,0.0260000,-0.0260000,9.4022000,0.0060000,-0.0060000
TOI-1807 b,TOI-1807,1,0.54937097,0.00000072,-0.00000072,0,0.012200,0.000200,-0.000200,0,1.497,0.081,-0.068,0,2.44000,0.60000,-0.57000,0,0.000000,,,0,,,,,1694,32,-32,0,,4914.00,60.00,-58.00,0,0.75,0.02,-0.02,0,0.80,0.02,-0.03,0,0.044,0.088,-0.095,0,4.60,0.02,-0.02,0,42.5775000,0.0622000,-0.0620000,10.0000000,0.0300000,-0.0300000,7.5680000,9.9950000,-9.9950000,9.0363000,0.0060000,-0.0060000
Kepler-1873 b,Kepler-1873,1,0.55884200,,,0,,,,,1.626,,,0,,,,,,,,,,,,,,,,,,5151.00,154.00,-138.00,0,0.79,0.11,-0.05,0,0.90,0.05,-0.09,0,0.210,0.200,-0.300,0,4.59,0.02,-0.10,0,820.9570000,26.2335000,-26.2335000,15.8890000,0.0580000,-0.0580000,13.5690000,0.0410000,-0.0410000,14.9859000,0.0083000,-0.0083000
Kepler-828 b,Kepler-828,1,0.56785714,0.00000044,-0.00000044,0,,,,,1.510,0.080,-0.110,0,,,,,,,,,,,,,,,,,,5039.00,50.73,-59.50,0,0.77,0.04,-0.04,0,0.81,0.04,-0.04,0,-0.020,0.164,-0.175,0,4.58,0.03,-0.05,0,575.3220000,6.5750000,-6.4300000,15.3740000,0.1830000,-0.1830000,12.9920000,0.0270000,-0.0270000,14.4455000,0.0067000,-0.0067000
Kepler-1317 b,Kepler-1317,1,0.56887443,0.00000060,-0.00000060,0,,,,,1.560,0.090,-0.080,0,,,,,,,,,,,,,,,,,,5144.00,84.20,-69.20,0,0.79,0.04,-0.04,0,0.83,0.04,-0.04,0,-0.010,0.133,-0.156,0,4.57,0.03,-0.05,0,728.3030000,12.1715000,-12.1715000,15.0830000,0.1150000,-0.1150000,13.3090000,0.0410000,-0.0410000,14.6369000,0.0069000,-0.0069000
K2-210 b,K2-210,1,0.57023000,0.00003200,-0.00003200,0,,,,,0.860,0.200,-0.200,0,,,,,,,,,,,,,,,,,,5500.00,45.00,-45.00,0,0.89,0.15,-0.15,0,,,,,0.000,0.020,-0.020,0,4.60,0.07,-0.07,0,176.5100000,1.8580000,-1.8190000,11.5350000,0.0430000,-0.0430000,9.9150000,0.0190000,-0.0190000,11.0759000,0.0061000,-0.0061000
Kepler-1107 b,Kepler-1107,1,0.57103852,0.00000042,-0.00000042,0,,,,,1.340,0.100,-0.080,0,,,,,,,,,,,,,,,,,,5268.00,104.99,-126.81,0,0.82,0.06,-0.04,0,0.86,0.04,-0.05,0,0.010,0.148,-0.162,0,4.55,0.03,-0.07,0,428.7980000,4.2320000,-4.2320000,14.3150000,0.0570000,-0.0570000,12.1520000,0.0220000,-0.0220000,13.5378000,0.0093000,-0.0093000
