# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Dec  6 02:54:57 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_bmasse not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
CoRoT-4 b,CoRoT-4,1,1,1,0,9.20205000,0.00037000,-0.00037000,0,0.090000,0.001000,-0.001000,0,13.340,0.670,-0.560,0,228.83000,25.43000,-25.43000,0,0.000000,0.100000,-0.100000,0,,6190.00,60.00,-60.00,0,1.17,0.01,-0.03,0,1.16,0.03,-0.02,0,726.4120000,15.1810000,-14.5820000
CoRoT-5 b,CoRoT-5,1,1,1,0,4.03789620,0.00000190,-0.00000190,0,0.049470,0.000260,-0.000290,0,15.558,0.516,-0.527,0,148.42000,14.93700,-7.62800,0,0.090000,0.090000,-0.040000,0,F9 V,6100.00,65.00,-65.00,0,1.19,0.04,-0.04,0,1.00,0.02,-0.02,0,882.4720000,25.6200000,-25.6200000
CoRoT-6 b,CoRoT-6,1,1,1,0,8.88659300,0.00000400,-0.00000400,0,0.085500,0.001500,-0.001500,0,13.068,0.392,-0.392,0,940.74000,108.06000,-108.06000,0,0.100000,,,1,F9 V,6090.00,70.00,-70.00,0,1.02,0.03,-0.03,0,1.05,0.05,-0.05,0,645.2940000,12.4530000,-11.9970000
CoRoT-7 b,CoRoT-7,1,1,3,0,0.85359163,0.00000001,-0.00000001,0,,,,,1.681,0.112,-0.112,0,4.07661,1.01982,-1.01982,0,0.000000,,,0,,5275.00,75.00,-75.00,0,0.83,0.04,-0.04,0,0.82,0.17,-0.17,0,159.9060000,0.9170000,-0.9060000
CoRoT-8 b,CoRoT-8,1,1,1,0,6.21229000,0.00003000,-0.00003000,0,0.063000,0.001000,-0.001000,0,6.390,0.220,-0.220,0,69.92000,9.53000,-9.53000,0,0.000000,,,0,K1 V,5080.00,80.00,-80.00,0,0.77,0.02,-0.02,0,0.88,0.04,-0.04,0,322.0370000,2.7140000,-2.7140000
CoRoT-9 b,CoRoT-9,1,2,1,0,95.27265600,0.00006800,-0.00006800,0,0.402100,0.005400,-0.005400,0,11.949,0.841,-0.706,0,266.97720,15.89150,-15.89150,0,0.133000,0.042000,-0.037000,0,,5625.00,80.00,-80.00,0,0.96,0.06,-0.06,0,0.96,0.04,-0.04,0,412.9800000,4.7250000,-4.6220000
CoRoTID 223977153 b,CoRoTID 223977153,1,1,1,0,6.71837000,0.00001000,-0.00001000,0,0.071000,0.001000,-0.001000,0,6.389,0.673,-0.560,0,47.67450,31.78300,-31.78300,0,,,,,G0 VI,5970.00,100.00,-100.00,0,0.79,0.08,-0.09,0,1.08,0.08,-0.07,0,576.6830000,10.4360000,-10.4360000
EPIC 220674823 b,EPIC 220674823,1,1,2,0,0.57129200,0.00001200,-0.00001200,0,0.013260,0.000280,-0.000230,0,1.725,0.039,-0.039,0,8.21000,0.76000,-0.74000,0,0.000000,,,0,,5532.00,62.00,-62.00,0,0.99,0.01,-0.01,0,0.95,0.06,-0.05,0,244.5900000,3.0440000,-2.9720000
EPIC 220674823 c,EPIC 220674823,1,1,2,0,13.33970000,0.00096000,-0.00096000,0,0.108300,0.002300,-0.001800,0,2.836,0.086,-0.073,0,8.90000,2.40000,-2.40000,0,0.130000,,,1,,5532.00,62.00,-62.00,0,0.99,0.01,-0.01,0,0.95,0.06,-0.05,0,244.5900000,3.0440000,-2.9720000
EPIC 229004835 b,EPIC 229004835,1,1,1,0,16.14113200,0.00001900,-0.00001900,0,0.123700,0.001700,-0.001700,0,2.332,0.080,-0.094,0,10.40000,1.60000,-1.50000,0,0.230000,,,1,,5868.00,60.00,-60.00,0,1.00,0.01,-0.01,0,0.97,0.04,-0.04,0,121.9710000,0.8790000,-0.8660000
EPIC 246851721 b,EPIC 246851721,1,2,1,0,6.18023500,0.00001400,-0.00001400,0,0.072290,0.000740,-0.000750,0,11.781,0.493,-0.493,0,953.49000,349.61300,-381.39600,0,,,,,F5 V,6202.00,52.00,-50.00,0,1.59,0.03,-0.03,0,1.32,0.04,-0.04,0,372.6320000,19.4560000,-17.6440000
EPIC 248847494 b,EPIC 248847494,1,1,1,0,3650.00000000,1280.00000000,-1130.00000000,0,4.500000,1.000000,-1.000000,0,12.442,0.785,-0.785,0,4131.79000,,,1,0.000000,,,0,,4898.00,68.00,-68.00,0,2.70,0.12,-0.12,0,0.90,0.09,-0.09,0,551.8860000,12.7520000,-12.7520000
EPIC 249893012 b,EPIC 249893012,1,1,3,0,3.59510000,0.00030000,-0.00030000,0,0.047000,0.005000,-0.007000,0,1.950,0.090,-0.080,0,8.75000,1.09000,-1.08000,0,0.060000,0.080000,-0.040000,0,G8 IV/V,5430.00,85.00,-85.00,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,321.2960000,4.1890000,-4.0850000
EPIC 249893012 c,EPIC 249893012,1,1,3,0,15.62400000,0.00100000,-0.00100000,0,0.130000,0.010000,-0.020000,0,3.670,0.170,-0.140,0,14.67000,1.84000,-1.89000,0,0.070000,0.080000,-0.050000,0,G8 IV/V,5430.00,85.00,-85.00,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,321.2960000,4.1890000,-4.0850000
EPIC 249893012 d,EPIC 249893012,1,1,3,0,35.74700000,0.00500000,-0.00500000,0,0.220000,0.020000,-0.040000,0,3.940,0.130,-0.120,0,10.18000,2.46000,-2.42000,0,0.150000,0.210000,-0.110000,0,G8 IV/V,5430.00,85.00,-85.00,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,321.2960000,4.1890000,-4.0850000
G 9-40 b,G 9-40,1,1,1,0,5.74599820,0.00000200,-0.00000200,0,0.041800,0.000640,-0.000640,0,1.900,0.065,-0.065,0,4.00000,0.63000,-0.63000,0,0.000000,,,0,,3395.00,51.00,-51.00,0,0.30,0.01,-0.01,0,0.30,0.01,-0.01,0,27.9276000,0.0451000,-0.0450000
GJ 1132 b,GJ 1132,1,1,2,0,1.62892911,0.00000029,-0.00000030,0,0.015700,0.000130,-0.000130,0,1.192,0.038,-0.045,0,1.83705,0.19070,-0.18752,0,0.011800,0.047000,-0.009900,0,,3229.00,78.00,-62.00,0,0.22,0.01,-0.01,0,0.19,0.00,0.00,0,12.6130000,0.0070000,-0.0070000
GJ 1214 b,GJ 1214,1,1,1,0,1.58040453,0.00000002,-0.00000002,0,0.015050,0.000110,-0.000110,0,2.733,0.033,-0.031,0,8.41000,0.36000,-0.35000,0,0.006200,0.007900,-0.004400,0,,3101.00,43.00,-43.00,0,0.22,0.00,0.00,0,0.18,0.00,0.00,0,14.6427000,0.0372000,-0.0372000
GJ 1252 b,GJ 1252,1,1,1,0,0.51823310,0.00000840,-0.00000840,0,,,,,1.193,0.074,-0.074,0,1.32000,0.28000,-0.28000,0,0.000000,,,0,M3,3458.00,140.00,-133.00,0,0.39,0.02,-0.02,0,0.38,0.02,-0.02,0,20.3730000,0.0192000,-0.0192000
GJ 143 b,GJ 143,1,1,2,0,35.61253000,0.00060000,-0.00062000,0,0.191500,0.005800,-0.006300,0,2.610,0.170,-0.160,0,22.70000,2.20000,-1.90000,0,0.188000,0.076000,-0.078000,0,K4.5,4640.00,100.00,-100.00,0,0.69,0.03,-0.03,0,0.73,0.07,-0.07,0,16.3200000,0.0071000,-0.0071000
GJ 3090 b,GJ 3090,1,1,1,0,2.85310540,0.00000230,-0.00000230,0,0.031650,0.000270,-0.000270,0,2.130,0.110,-0.110,0,3.34000,0.72000,-0.72000,0,0.320000,,,1,M2 V,3556.00,70.00,-70.00,0,0.52,0.02,-0.02,0,0.52,0.01,-0.01,0,22.4751000,0.0260500,-0.0260500
GJ 3470 b,GJ 3470,1,1,1,0,3.33664960,0.00000390,-0.00000330,0,0.035500,0.001900,-0.001900,0,4.570,0.180,-0.180,0,13.90000,1.50000,-1.50000,0,,,,,,3600.00,100.00,-100.00,0,0.55,0.02,-0.02,0,0.54,0.05,-0.04,0,29.4214000,0.0508000,-0.0507000
GJ 3473 b,GJ 3473,1,2,2,0,1.19800350,0.00000180,-0.00000190,0,0.015890,0.000620,-0.000620,0,1.264,0.050,-0.049,0,1.86000,0.30000,-0.30000,0,0.000000,,,0,,3347.00,54.00,-54.00,0,0.36,0.01,-0.01,0,0.36,0.02,-0.02,0,27.3644000,0.0376000,-0.0376000
GJ 367 b,GJ 367,1,1,3,0,0.32192250,0.00000020,-0.00000020,0,0.007090,0.000270,-0.000270,0,0.699,0.024,-0.024,0,0.63300,0.05000,-0.05000,0,0.060000,0.070000,-0.040000,0,M1.0 V,3522.00,70.00,-70.00,0,0.46,0.01,-0.01,0,0.46,0.01,-0.01,0,9.4126300,0.0028350,-0.0028350
GJ 3929 b,GJ 3929,1,1,2,0,2.61623500,0.00000500,-0.00000500,0,0.025200,0.000500,-0.000500,0,1.090,0.040,-0.040,0,1.75000,0.44000,-0.45000,0,0.000000,,,0,,3384.00,88.00,-88.00,0,0.32,0.01,-0.01,0,0.31,0.03,-0.02,0,15.8095000,0.0096000,-0.0095000
